lemma,c1,c2,statement,response
亞洲,亞,洲,亞洲 是一種 洲,
不錯,不,錯,不錯 是一種 錯,
缺乏,缺,乏,缺乏 是一種 乏,
價值,價,值,價值 是一種 值,
女性,女,性,女性 是一種 性,
國內,國,內,國內 是一種 內,
致意,致,意,致意 是一種 意,
感恩,感,恩,感恩 是一種 恩,
行動,行,動,行動 是一種 動,
走路,走,路,走路 是一種 路,
進去,進,去,進去 是一種 去,
保障,保,障,保障 是一種 障,
那邊,那,邊,那邊 是一種 邊,
愉快,愉,快,愉快 是一種 快,
旅行,旅,行,旅行 是一種 行,
衛生,衛,生,衛生 是一種 生,
仔細,仔,細,仔細 是一種 細,
特性,特,性,特性 是一種 性,
觀光,觀,光,觀光 是一種 光,
那裡,那,裡,那裡 是一種 裡,
同意,同,意,同意 是一種 意,
兒子,兒,子,兒子 是一種 子,
程式,程,式,程式 是一種 式,
領袖,領,袖,領袖 是一種 袖,
民眾,民,眾,民眾 是一種 眾,
網路,網,路,網路 是一種 路,
從業,從,業,從業 是一種 業,
動員,動,員,動員 是一種 員,
唱歌,唱,歌,唱歌 是一種 歌,
吸食,吸,食,吸食 是一種 食,
財產,財,產,財產 是一種 產,
適應,適,應,適應 是一種 應,
同仁,同,仁,同仁 是一種 仁,
特徵,特,徵,特徵 是一種 徵,
快速,快,速,快速 是一種 速,
面臨,面,臨,面臨 是一種 臨,
角色,角,色,角色 是一種 色,
影響,影,響,影響 是一種 響,
麥克,麥,克,麥克 是一種 克,
晉級,晉,級,晉級 是一種 級,
原始,原,始,原始 是一種 始,
面前,面,前,面前 是一種 前,
實力,實,力,實力 是一種 力,
分為,分,為,分為 是一種 為,
模式,模,式,模式 是一種 式,
人才,人,才,人才 是一種 才,
工程,工,程,工程 是一種 程,
進行,進,行,進行 是一種 行,
開刀,開,刀,開刀 是一種 刀,
相反,相,反,相反 是一種 反,
行業,行,業,行業 是一種 業,
大會,大,會,大會 是一種 會,
正常,正,常,正常 是一種 常,
超過,超,過,超過 是一種 過,
鼓勵,鼓,勵,鼓勵 是一種 勵,
產品,產,品,產品 是一種 品,
秦王,秦,王,秦王 是一種 王,
開會,開,會,開會 是一種 會,
困境,困,境,困境 是一種 境,
作家,作,家,作家 是一種 家,
工廠,工,廠,工廠 是一種 廠,
客戶,客,戶,客戶 是一種 戶,
研究,研,究,研究 是一種 究,
連戰,連,戰,連戰 是一種 戰,
李子,李,子,李子 是一種 子,
收入,收,入,收入 是一種 入,
財力,財,力,財力 是一種 力,
保守,保,守,保守 是一種 守,
目前,目,前,目前 是一種 前,
最後,最,後,最後 是一種 後,
組織,組,織,組織 是一種 織,
後來,後,來,後來 是一種 來,
小時,小,時,小時 是一種 時,
麥克,麥,克,麥克 是一種 克,
掩埋,掩,埋,掩埋 是一種 埋,
接近,接,近,接近 是一種 近,
皮膚,皮,膚,皮膚 是一種 膚,
年代,年,代,年代 是一種 代,
路線,路,線,路線 是一種 線,
欣慰,欣,慰,欣慰 是一種 慰,
阻擋,阻,擋,阻擋 是一種 擋,
船隻,船,隻,船隻 是一種 隻,
大大,大,大,大大 是一種 大,
糧食,糧,食,糧食 是一種 食,
攔截,攔,截,攔截 是一種 截,
惡化,惡,化,惡化 是一種 化,
泥土,泥,土,泥土 是一種 土,
挖掘,挖,掘,挖掘 是一種 掘,
秋季,秋,季,秋季 是一種 季,
穿越,穿,越,穿越 是一種 越,
參見,參,見,參見 是一種 見,
滲入,滲,入,滲入 是一種 入,
作出,作,出,作出 是一種 出,
溫和,溫,和,溫和 是一種 和,
遠大,遠,大,遠大 是一種 大,
樹木,樹,木,樹木 是一種 木,
暴雨,暴,雨,暴雨 是一種 雨,
效應,效,應,效應 是一種 應,
歡欣,歡,欣,歡欣 是一種 欣,
恐慌,恐,慌,恐慌 是一種 慌,
可喜,可,喜,可喜 是一種 喜,
驚恐,驚,恐,驚恐 是一種 恐,
糕點,糕,點,糕點 是一種 點,
摩擦,摩,擦,摩擦 是一種 擦,
羞愧,羞,愧,羞愧 是一種 愧,
客氣,客,氣,客氣 是一種 氣,
悲慘,悲,慘,悲慘 是一種 慘,
憂愁,憂,愁,憂愁 是一種 愁,
冷靜,冷,靜,冷靜 是一種 靜,
意欲,意,欲,意欲 是一種 欲,
開心,開,心,開心 是一種 心,
驚喜,驚,喜,驚喜 是一種 喜,
舒暢,舒,暢,舒暢 是一種 暢,
辛酸,辛,酸,辛酸 是一種 酸,
快意,快,意,快意 是一種 意,
煩心,煩,心,煩心 是一種 心,
苦悶,苦,悶,苦悶 是一種 悶,
煩憂,煩,憂,煩憂 是一種 憂,
哀怨,哀,怨,哀怨 是一種 怨,
酸楚,酸,楚,酸楚 是一種 楚,
震怒,震,怒,震怒 是一種 怒,
期求,期,求,期求 是一種 求,
