lemma,c1,c2,statement,response
幹麼,幹,麼,幹麼 是一種 麼,
臨到,臨,到,臨到 是一種 到,
等到,等,到,等到 是一種 到,
除去,除,去,除去 是一種 去,
宏觀,宏,觀,宏觀 是一種 觀,
有聲,有,聲,有聲 是一種 聲,
不如,不,如,不如 是一種 如,
另外,另,外,另外 是一種 外,
一律,一,律,一律 是一種 律,
確實,確,實,確實 是一種 實,
初步,初,步,初步 是一種 步,
同樣,同,樣,同樣 是一種 樣,
過分,過,分,過分 是一種 分,
這樣,這,樣,這樣 是一種 樣,
接連,接,連,接連 是一種 連,
小人,小,人,小人 是一種 人,
油煙,油,煙,油煙 是一種 煙,
界線,界,線,界線 是一種 線,
脈動,脈,動,脈動 是一種 動,
嫌疑,嫌,疑,嫌疑 是一種 疑,
學運,學,運,學運 是一種 運,
獵物,獵,物,獵物 是一種 物,
子宮,子,宮,子宮 是一種 宮,
光電,光,電,光電 是一種 電,
版面,版,面,版面 是一種 面,
眉毛,眉,毛,眉毛 是一種 毛,
筆觸,筆,觸,筆觸 是一種 觸,
論述,論,述,論述 是一種 述,
觸角,觸,角,觸角 是一種 角,
曾參,曾,參,曾參 是一種 參,
王維,王,維,王維 是一種 維,
傑克,傑,克,傑克 是一種 克,
這裏,這,裏,這裏 是一種 裏,
西德,西,德,西德 是一種 德,
遠東,遠,東,遠東 是一種 東,
大量,大,量,大量 是一種 量,
之初,之,初,之初 是一種 初,
妳們,妳,們,妳們 是一種 們,
咱們,咱,們,咱們 是一種 們,
大眾,大,眾,大眾 是一種 眾,
別人,別,人,別人 是一種 人,
迴旋,迴,旋,迴旋 是一種 旋,
過冬,過,冬,過冬 是一種 冬,
作怪,作,怪,作怪 是一種 怪,
進展,進,展,進展 是一種 展,
撒嬌,撒,嬌,撒嬌 是一種 嬌,
推辭,推,辭,推辭 是一種 辭,
過目,過,目,過目 是一種 目,
效命,效,命,效命 是一種 命,
施力,施,力,施力 是一種 力,
速寫,速,寫,速寫 是一種 寫,
護航,護,航,護航 是一種 航,
分段,分,段,分段 是一種 段,
離散,離,散,離散 是一種 散,
拜託,拜,託,拜託 是一種 託,
響應,響,應,響應 是一種 應,
批發,批,發,批發 是一種 發,
獻藝,獻,藝,獻藝 是一種 藝,
發包,發,包,發包 是一種 包,
捐贈,捐,贈,捐贈 是一種 贈,
勒索,勒,索,勒索 是一種 索,
敘述,敘,述,敘述 是一種 述,
遞給,遞,給,遞給 是一種 給,
聽見,聽,見,聽見 是一種 見,
記錄,記,錄,記錄 是一種 錄,
預測,預,測,預測 是一種 測,
反應,反,應,反應 是一種 應,
預期,預,期,預期 是一種 期,
逼迫,逼,迫,逼迫 是一種 迫,
假裝,假,裝,假裝 是一種 裝,
命令,命,令,命令 是一種 令,
交由,交,由,交由 是一種 由,
命名,命,名,命名 是一種 名,
化為,化,為,化為 是一種 為,
即為,即,為,即為 是一種 為,
應邀,應,邀,應邀 是一種 邀,
到案,到,案,到案 是一種 案,
荒唐,荒,唐,荒唐 是一種 唐,
不實,不,實,不實 是一種 實,
相愛,相,愛,相愛 是一種 愛,
細微,細,微,細微 是一種 微,
架空,架,空,架空 是一種 空,
發源,發,源,發源 是一種 源,
綿延,綿,延,綿延 是一種 延,
維繫,維,繫,維繫 是一種 繫,
推崇,推,崇,推崇 是一種 崇,
降至,降,至,降至 是一種 至,
遵循,遵,循,遵循 是一種 循,
疏忽,疏,忽,疏忽 是一種 忽,
傾向,傾,向,傾向 是一種 向,
寧可,寧,可,寧可 是一種 可,
涉嫌,涉,嫌,涉嫌 是一種 嫌,
曉得,曉,得,曉得 是一種 得,
輪到,輪,到,輪到 是一種 到,
後悔,後,悔,後悔 是一種 悔,
被迫,被,迫,被迫 是一種 迫,
習慣,習,慣,習慣 是一種 慣,
秒鐘,秒,鐘,秒鐘 是一種 鐘,
秒角,秒,角,秒角 是一種 角,
梅樹,梅,樹,梅樹 是一種 樹,
四周,四,周,四周 是一種 周,
縱容,縱,容,縱容 是一種 容,
之外,之,外,之外 是一種 外,
那些,那,些,那些 是一種 些,
寧願,寧,願,寧願 是一種 願,
好發,好,發,好發 是一種 發,
鍋子,鍋,子,鍋子 是一種 子,
湯匙,湯,匙,湯匙 是一種 匙,
補助,補,助,補助 是一種 助,
前後,前,後,前後 是一種 後,
聲稱,聲,稱,聲稱 是一種 稱,
決定,決,定,決定 是一種 定,
本人,本,人,本人 是一種 人,
個人,個,人,個人 是一種 人,
照舊,照,舊,照舊 是一種 舊,
連接,連,接,連接 是一種 接,
西南,西,南,西南 是一種 南,
少爺,少,爺,少爺 是一種 爺,
妹妹,妹,妹,妹妹 是一種 妹,
提前,提,前,提前 是一種 前,
化妝,化,妝,化妝 是一種 妝,
敝人,敝,人,敝人 是一種 人,
補妝,補,妝,補妝 是一種 妝,
惡補,惡,補,惡補 是一種 補,
趕路,趕,路,趕路 是一種 路,
學佛,學,佛,學佛 是一種 佛,
夏娃,夏,娃,夏娃 是一種 娃,
樸實,樸,實,樸實 是一種 實,
盒子,盒,子,盒子 是一種 子,
尖峰,尖,峰,尖峰 是一種 峰,
先父,先,父,先父 是一種 父,
聽任,聽,任,聽任 是一種 任,
裝箱,裝,箱,裝箱 是一種 箱,
周旋,周,旋,周旋 是一種 旋,
頒給,頒,給,頒給 是一種 給,
泰雅,泰,雅,泰雅 是一種 雅,
為生,為,生,為生 是一種 生,
有志,有,志,有志 是一種 志,
敬業,敬,業,敬業 是一種 業,
面目,面,目,面目 是一種 目,
聖火,聖,火,聖火 是一種 火,
應徵,應,徵,應徵 是一種 徵,
蘭嶼,蘭,嶼,蘭嶼 是一種 嶼,
存有,存,有,存有 是一種 有,
出自,出,自,出自 是一種 自,
不顧,不,顧,不顧 是一種 顧,
千萬,千,萬,千萬 是一種 萬,
滿意,滿,意,滿意 是一種 意,
一定,一,定,一定 是一種 定,
賤內,賤,內,賤內 是一種 內,
失信,失,信,失信 是一種 信,
解嘲,解,嘲,解嘲 是一種 嘲,
買給,買,給,買給 是一種 給,
做主,做,主,做主 是一種 主,
相會,相,會,相會 是一種 會,
較多,較,多,較多 是一種 多,
任憑,任,憑,任憑 是一種 憑,
少量,少,量,少量 是一種 量,
歸功,歸,功,歸功 是一種 功,
跨越,跨,越,跨越 是一種 越,
電廠,電,廠,電廠 是一種 廠,
思索,思,索,思索 是一種 索,
警告,警,告,警告 是一種 告,
檢討,檢,討,檢討 是一種 討,
呼籲,呼,籲,呼籲 是一種 籲,
我輩,我,輩,我輩 是一種 輩,
汝等,汝,等,汝等 是一種 等,
頂嘴,頂,嘴,頂嘴 是一種 嘴,
甘願,甘,願,甘願 是一種 願,
讓給,讓,給,讓給 是一種 給,
志願,志,願,志願 是一種 願,
張良,張,良,張良 是一種 良,
發亮,發,亮,發亮 是一種 亮,
典雅,典,雅,典雅 是一種 雅,
既是,既,是,既是 是一種 是,
點子,點,子,點子 是一種 子,
為首,為,首,為首 是一種 首,
驚奇,驚,奇,驚奇 是一種 奇,
稍後,稍,後,稍後 是一種 後,
鄰近,鄰,近,鄰近 是一種 近,
賦予,賦,予,賦予 是一種 予,
甚麼,甚,麼,甚麼 是一種 麼,
指示,指,示,指示 是一種 示,
查詢,查,詢,查詢 是一種 詢,
小心,小,心,小心 是一種 心,
十分,十,分,十分 是一種 分,
內子,內,子,內子 是一種 子,
乃父,乃,父,乃父 是一種 父,
家父,家,父,家父 是一種 父,
毀容,毀,容,毀容 是一種 容,
禮聘,禮,聘,禮聘 是一種 聘,
浸泡,浸,泡,浸泡 是一種 泡,
奉為,奉,為,奉為 是一種 為,
散去,散,去,散去 是一種 去,
送出,送,出,送出 是一種 出,
康德,康,德,康德 是一種 德,
好似,好,似,好似 是一種 似,
漢子,漢,子,漢子 是一種 子,
期許,期,許,期許 是一種 許,
慈善,慈,善,慈善 是一種 善,
不及,不,及,不及 是一種 及,
替代,替,代,替代 是一種 代,
排名,排,名,排名 是一種 名,
預防,預,防,預防 是一種 防,
據報,據,報,據報 是一種 報,
己身,己,身,己身 是一種 身,
照抄,照,抄,照抄 是一種 抄,
慣常,慣,常,慣常 是一種 常,
藉助,藉,助,藉助 是一種 助,
賜給,賜,給,賜給 是一種 給,
施暴,施,暴,施暴 是一種 暴,
施肥,施,肥,施肥 是一種 肥,
進香,進,香,進香 是一種 香,
無心,無,心,無心 是一種 心,
降為,降,為,降為 是一種 為,
為宜,為,宜,為宜 是一種 宜,
祖父,祖,父,祖父 是一種 父,
婦運,婦,運,婦運 是一種 運,
離島,離,島,離島 是一種 島,
渡過,渡,過,渡過 是一種 過,
但願,但,願,但願 是一種 願,
容許,容,許,容許 是一種 許,
善用,善,用,善用 是一種 用,
難過,難,過,難過 是一種 過,
令妹,令,妹,令妹 是一種 妹,
大多,大,多,大多 是一種 多,
借宿,借,宿,借宿 是一種 宿,
惹得,惹,得,惹得 是一種 得,
記過,記,過,記過 是一種 過,
可資,可,資,可資 是一種 資,
勉強,勉,強,勉強 是一種 強,
越戰,越,戰,越戰 是一種 戰,
蔚為,蔚,為,蔚為 是一種 為,
火力,火,力,火力 是一種 力,
拖延,拖,延,拖延 是一種 延,
為由,為,由,為由 是一種 由,
急性,急,性,急性 是一種 性,
擔憂,擔,憂,擔憂 是一種 憂,
計有,計,有,計有 是一種 有,
用水,用,水,用水 是一種 水,
防止,防,止,防止 是一種 止,
促進,促,進,促進 是一種 進,
許多,許,多,許多 是一種 多,
精專,精,專,精專 是一種 專,
自甘,自,甘,自甘 是一種 甘,
焉能,焉,能,焉能 是一種 能,
告狀,告,狀,告狀 是一種 狀,
捐助,捐,助,捐助 是一種 助,
口角,口,角,口角 是一種 角,
塞尚,塞,尚,塞尚 是一種 尚,
空洞,空,洞,空洞 是一種 洞,
稱作,稱,作,稱作 是一種 作,
標示,標,示,標示 是一種 示,
進攻,進,攻,進攻 是一種 攻,
河南,河,南,河南 是一種 南,
急速,急,速,急速 是一種 速,
計較,計,較,計較 是一種 較,
判決,判,決,判決 是一種 決,
信賴,信,賴,信賴 是一種 賴,
任意,任,意,任意 是一種 意,
確保,確,保,確保 是一種 保,
不滿,不,滿,不滿 是一種 滿,
大駕,大,駕,大駕 是一種 駕,
扶正,扶,正,扶正 是一種 正,
力圖,力,圖,力圖 是一種 圖,
覺得,覺,得,覺得 是一種 得,
大家,大,家,大家 是一種 家,
報價,報,價,報價 是一種 價,
協定,協,定,協定 是一種 定,
協同,協,同,協同 是一種 同,
維生,維,生,維生 是一種 生,
嘴脣,嘴,脣,嘴脣 是一種 脣,
預報,預,報,預報 是一種 報,
推斷,推,斷,推斷 是一種 斷,
猜測,猜,測,猜測 是一種 測,
攪得,攪,得,攪得 是一種 得,
保羅,保,羅,保羅 是一種 羅,
多多,多,多,多多 是一種 多,
陶醉,陶,醉,陶醉 是一種 醉,
許可,許,可,許可 是一種 可,
陽線,陽,線,陽線 是一種 線,
意即,意,即,意即 是一種 即,
什麼,什,麼,什麼 是一種 麼,
水果,水,果,水果 是一種 果,
動物,動,物,動物 是一種 物,
丈夫,丈,夫,丈夫 是一種 夫,
樹皮,樹,皮,樹皮 是一種 皮,
效力,效,力,效力 是一種 力,
那裏,那,裏,那裏 是一種 裏,
眼銳,眼,銳,眼銳 是一種 銳,
感到,感,到,感到 是一種 到,
好生,好,生,好生 是一種 生,
引得,引,得,引得 是一種 得,
肚子,肚,子,肚子 是一種 子,
政治,政,治,政治 是一種 治,
外交,外,交,外交 是一種 交,
江蘇,江,蘇,江蘇 是一種 蘇,
社會,社,會,社會 是一種 會,
民事,民,事,民事 是一種 事,
機構,機,構,機構 是一種 構,
產業,產,業,產業 是一種 業,
我國,我,國,我國 是一種 國,
機會,機,會,機會 是一種 會,
孩子,孩,子,孩子 是一種 子,
告辭,告,辭,告辭 是一種 辭,
曹操,曹,操,曹操 是一種 操,
優惠,優,惠,優惠 是一種 惠,
臨床,臨,床,臨床 是一種 床,
南非,南,非,南非 是一種 非,
邊政,邊,政,邊政 是一種 政,
民主,民,主,民主 是一種 主,
禪宗,禪,宗,禪宗 是一種 宗,
定案,定,案,定案 是一種 案,
亞運,亞,運,亞運 是一種 運,
適用,適,用,適用 是一種 用,
人事,人,事,人事 是一種 事,
華人,華,人,華人 是一種 人,
共識,共,識,共識 是一種 識,
人性,人,性,人性 是一種 性,
障礙,障,礙,障礙 是一種 礙,
東德,東,德,東德 是一種 德,
政大,政,大,政大 是一種 大,
學期,學,期,學期 是一種 期,
法國,法,國,法國 是一種 國,
費用,費,用,費用 是一種 用,
用戶,用,戶,用戶 是一種 戶,
美麗,美,麗,美麗 是一種 麗,
觀察,觀,察,觀察 是一種 察,
命運,命,運,命運 是一種 運,
詞典,詞,典,詞典 是一種 典,
走到,走,到,走到 是一種 到,
小學,小,學,小學 是一種 學,
提到,提,到,提到 是一種 到,
來源,來,源,來源 是一種 源,
唯一,唯,一,唯一 是一種 一,
力量,力,量,力量 是一種 量,
附近,附,近,附近 是一種 近,
資源,資,源,資源 是一種 源,
藝術,藝,術,藝術 是一種 術,
發展,發,展,發展 是一種 展,
某某,某,某,某某 是一種 某,
連戰,連,戰,連戰 是一種 戰,
唸書,唸,書,唸書 是一種 書,
停留,停,留,停留 是一種 留,
完工,完,工,完工 是一種 工,
贏得,贏,得,贏得 是一種 得,
業界,業,界,業界 是一種 界,
爆發,爆,發,爆發 是一種 發,
設定,設,定,設定 是一種 定,
差距,差,距,差距 是一種 距,
衝擊,衝,擊,衝擊 是一種 擊,
年紀,年,紀,年紀 是一種 紀,
念書,念,書,念書 是一種 書,
宜蘭,宜,蘭,宜蘭 是一種 蘭,
故宮,故,宮,故宮 是一種 宮,
遇到,遇,到,遇到 是一種 到,
堅持,堅,持,堅持 是一種 持,
創造,創,造,創造 是一種 造,
歐洲,歐,洲,歐洲 是一種 洲,
有效,有,效,有效 是一種 效,
設計,設,計,設計 是一種 計,
選擇,選,擇,選擇 是一種 擇,
一樣,一,樣,一樣 是一種 樣,
求婚,求,婚,求婚 是一種 婚,
注目,注,目,注目 是一種 目,
自治,自,治,自治 是一種 治,
東吳,東,吳,東吳 是一種 吳,
遊行,遊,行,遊行 是一種 行,
隨便,隨,便,隨便 是一種 便,
獨特,獨,特,獨特 是一種 特,
國會,國,會,國會 是一種 會,
縣府,縣,府,縣府 是一種 府,
保留,保,留,保留 是一種 留,
污染,污,染,污染 是一種 染,
面積,面,積,面積 是一種 積,
哪裡,哪,裡,哪裡 是一種 裡,
強烈,強,烈,強烈 是一種 烈,
錯過,錯,過,錯過 是一種 過,
困難,困,難,困難 是一種 難,
離開,離,開,離開 是一種 開,
找到,找,到,找到 是一種 到,
因素,因,素,因素 是一種 素,
人生,人,生,人生 是一種 生,
作品,作,品,作品 是一種 品,
歷史,歷,史,歷史 是一種 史,
學校,學,校,學校 是一種 校,
開戰,開,戰,開戰 是一種 戰,
出門,出,門,出門 是一種 門,
大聲,大,聲,大聲 是一種 聲,
客觀,客,觀,客觀 是一種 觀,
金額,金,額,金額 是一種 額,
結論,結,論,結論 是一種 論,
陽光,陽,光,陽光 是一種 光,
展示,展,示,展示 是一種 示,
空氣,空,氣,空氣 是一種 氣,
協調,協,調,協調 是一種 調,
主辦,主,辦,主辦 是一種 辦,
可能,可,能,可能 是一種 能,
類似,類,似,類似 是一種 似,
主任,主,任,主任 是一種 任,
小組,小,組,小組 是一種 組,
進入,進,入,進入 是一種 入,
先生,先,生,先生 是一種 生,
訴苦,訴,苦,訴苦 是一種 苦,
適之,適,之,適之 是一種 之,
延續,延,續,延續 是一種 續,
設有,設,有,設有 是一種 有,
描述,描,述,描述 是一種 述,
創作,創,作,創作 是一種 作,
主角,主,角,主角 是一種 角,
奧會,奧,會,奧會 是一種 會,
便宜,便,宜,便宜 是一種 宜,
生意,生,意,生意 是一種 意,
大小,大,小,大小 是一種 小,
明確,明,確,明確 是一種 確,
胡適,胡,適,胡適 是一種 適,
充分,充,分,充分 是一種 分,
設施,設,施,設施 是一種 施,
業務,業,務,業務 是一種 務,
狀況,狀,況,狀況 是一種 況,
相信,相,信,相信 是一種 信,
內容,內,容,內容 是一種 容,
不同,不,同,不同 是一種 同,
遵守,遵,守,遵守 是一種 守,
花園,花,園,花園 是一種 園,
常見,常,見,常見 是一種 見,
過去,過,去,過去 是一種 去,
名稱,名,稱,名稱 是一種 稱,
旁邊,旁,邊,旁邊 是一種 邊,
十分,十,分,十分 是一種 分,
年齡,年,齡,年齡 是一種 齡,
人人,人,人,人人 是一種 人,
一生,一,生,一生 是一種 生,
提升,提,升,提升 是一種 升,
吸引,吸,引,吸引 是一種 引,
可惜,可,惜,可惜 是一種 惜,
小姐,小,姐,小姐 是一種 姐,
推出,推,出,推出 是一種 出,
需求,需,求,需求 是一種 求,
解決,解,決,解決 是一種 決,
環境,環,境,環境 是一種 境,
訂婚,訂,婚,訂婚 是一種 婚,
動工,動,工,動工 是一種 工,
珍惜,珍,惜,珍惜 是一種 惜,
僅有,僅,有,僅有 是一種 有,
花蓮,花,蓮,花蓮 是一種 蓮,
華航,華,航,華航 是一種 航,
有名,有,名,有名 是一種 名,
藥物,藥,物,藥物 是一種 物,
事務,事,務,事務 是一種 務,
主持,主,持,主持 是一種 持,
哥哥,哥,哥,哥哥 是一種 哥,
出去,出,去,出去 是一種 去,
樣子,樣,子,樣子 是一種 子,
女兒,女,兒,女兒 是一種 兒,
廣告,廣,告,廣告 是一種 告,
官員,官,員,官員 是一種 員,
裡面,裡,面,裡面 是一種 面,
行為,行,為,行為 是一種 為,
單位,單,位,單位 是一種 位,
政府,政,府,政府 是一種 府,
孟子,孟,子,孟子 是一種 子,
有線,有,線,有線 是一種 線,
基層,基,層,基層 是一種 層,
巴西,巴,西,巴西 是一種 西,
優勢,優,勢,優勢 是一種 勢,
女子,女,子,女子 是一種 子,
緊張,緊,張,緊張 是一種 張,
國民,國,民,國民 是一種 民,
互相,互,相,互相 是一種 相,
國外,國,外,國外 是一種 外,
電視,電,視,電視 是一種 視,
美國,美,國,美國 是一種 國,
錄音,錄,音,錄音 是一種 音,
紀念,紀,念,紀念 是一種 念,
找出,找,出,找出 是一種 出,
好處,好,處,好處 是一種 處,
如何,如,何,如何 是一種 何,
族群,族,群,族群 是一種 群,
檢查,檢,查,檢查 是一種 查,
責任,責,任,責任 是一種 任,
人類,人,類,人類 是一種 類,
訂貨,訂,貨,訂貨 是一種 貨,
運動,運,動,運動 是一種 動,
單純,單,純,單純 是一種 純,
深入,深,入,深入 是一種 入,
大樓,大,樓,大樓 是一種 樓,
擔心,擔,心,擔心 是一種 心,
減少,減,少,減少 是一種 少,
意見,意,見,意見 是一種 見,
吳鳳,吳,鳳,吳鳳 是一種 鳳,
作戰,作,戰,作戰 是一種 戰,
倫敦,倫,敦,倫敦 是一種 敦,
同事,同,事,同事 是一種 事,
基本,基,本,基本 是一種 本,
完整,完,整,完整 是一種 整,
人們,人,們,人們 是一種 們,
姊姊,姊,姊,姊姊 是一種 姊,
陽光,陽,光,陽光 是一種 光,
停機,停,機,停機 是一種 機,
陽明,陽,明,陽明 是一種 明,
那裡,那,裡,那裡 是一種 裡,
東吳,東,吳,東吳 是一種 吳,
同時,同,時,同時 是一種 時,
昨天,昨,天,昨天 是一種 天,
建築,建,築,建築 是一種 築,
得到,得,到,得到 是一種 到,
生氣,生,氣,生氣 是一種 氣,
那兒,那,兒,那兒 是一種 兒,
棄置,棄,置,棄置 是一種 置,
相比,相,比,相比 是一種 比,
亦即,亦,即,亦即 是一種 即,
年代,年,代,年代 是一種 代,
增溫,增,溫,增溫 是一種 溫,
近代,近,代,近代 是一種 代,
後代,後,代,後代 是一種 代,
藻類,藻,類,藻類 是一種 類,
冬季,冬,季,冬季 是一種 季,
纏住,纏,住,纏住 是一種 住,
劇毒,劇,毒,劇毒 是一種 毒,
貨物,貨,物,貨物 是一種 物,
資本,資,本,資本 是一種 本,
春季,春,季,春季 是一種 季,
毒物,毒,物,毒物 是一種 物,
致命,致,命,致命 是一種 命,
參見,參,見,參見 是一種 見,
摸索,摸,索,摸索 是一種 索,
開花,開,花,開花 是一種 花,
溶化,溶,化,溶化 是一種 化,
積累,積,累,積累 是一種 累,
氣溫,氣,溫,氣溫 是一種 溫,
本金,本,金,本金 是一種 金,
核心,核,心,核心 是一種 心,
怨恨,怨,恨,怨恨 是一種 恨,
觸怒,觸,怒,觸怒 是一種 怒,
畏懼,畏,懼,畏懼 是一種 懼,
爽快,爽,快,爽快 是一種 快,
煩悶,煩,悶,煩悶 是一種 悶,
憤慨,憤,慨,憤慨 是一種 慨,
延伸,延,伸,延伸 是一種 伸,
狂喜,狂,喜,狂喜 是一種 喜,
冷酷,冷,酷,冷酷 是一種 酷,
冷血,冷,血,冷血 是一種 血,
悔恨,悔,恨,悔恨 是一種 恨,
慌張,慌,張,慌張 是一種 張,
操心,操,心,操心 是一種 心,
冷門,冷,門,冷門 是一種 門,
喜悅,喜,悅,喜悅 是一種 悅,
暢快,暢,快,暢快 是一種 快,
牽掛,牽,掛,牽掛 是一種 掛,
愁悶,愁,悶,愁悶 是一種 悶,
憂悶,憂,悶,憂悶 是一種 悶,
悲涼,悲,涼,悲涼 是一種 涼,
悲愁,悲,愁,悲愁 是一種 愁,
嫌惡,嫌,惡,嫌惡 是一種 惡,
暴怒,暴,怒,暴怒 是一種 怒,
憂煩,憂,煩,憂煩 是一種 煩,
