lemma,c1,c2,statement,response
糾纏,糾,纏,糾纏 是一種 纏,
距離,距,離,距離 是一種 離,
攤子,攤,子,攤子 是一種 子,
四川,四,川,四川 是一種 川,
兔子,兔,子,兔子 是一種 子,
兔子,兔,子,兔子 是一種 子,
朱紅,朱,紅,朱紅 是一種 紅,
丹紅,丹,紅,丹紅 是一種 紅,
軍隊,軍,隊,軍隊 是一種 隊,
軍人,軍,人,軍人 是一種 人,
全球,全,球,全球 是一種 球,
臉色,臉,色,臉色 是一種 色,
警察,警,察,警察 是一種 察,
警員,警,員,警員 是一種 員,
警官,警,官,警官 是一種 官,
調查,調,查,調查 是一種 查,
大伙,大,伙,大伙 是一種 伙,
跑船,跑,船,跑船 是一種 船,
小我,小,我,小我 是一種 我,
制伏,制,伏,制伏 是一種 伏,
順手,順,手,順手 是一種 手,
心動,心,動,心動 是一種 動,
注意,注,意,注意 是一種 意,
靈魂,靈,魂,靈魂 是一種 魂,
令尊,令,尊,令尊 是一種 尊,
賣出,賣,出,賣出 是一種 出,
迷信,迷,信,迷信 是一種 信,
明朗,明,朗,明朗 是一種 朗,
名牌,名,牌,名牌 是一種 牌,
名氣,名,氣,名氣 是一種 氣,
名聲,名,聲,名聲 是一種 聲,
某些,某,些,某些 是一種 些,
內行,內,行,內行 是一種 行,
年初,年,初,年初 是一種 初,
牛郎,牛,郎,牛郎 是一種 郎,
拍賣,拍,賣,拍賣 是一種 賣,
客人,客,人,客人 是一種 人,
朋友,朋,友,朋友 是一種 友,
皮包,皮,包,皮包 是一種 包,
漂亮,漂,亮,漂亮 是一種 亮,
期末,期,末,期末 是一種 末,
其它,其,它,其它 是一種 它,
其他,其,他,其他 是一種 他,
前者,前,者,前者 是一種 者,
勤前,勤,前,勤前 是一種 前,
秋後,秋,後,秋後 是一種 後,
球迷,球,迷,球迷 是一種 迷,
全身,全,身,全身 是一種 身,
任何,任,何,任何 是一種 何,
如同,如,同,如同 是一種 同,
入迷,入,迷,入迷 是一種 迷,
少時,少,時,少時 是一種 時,
涉及,涉,及,涉及 是一種 及,
身後,身,後,身後 是一種 後,
生前,生,前,生前 是一種 前,
勝過,勝,過,勝過 是一種 過,
實況,實,況,實況 是一種 況,
食用,食,用,食用 是一種 用,
史前,史,前,史前 是一種 前,
似的,似,的,似的 是一種 的,
送交,送,交,送交 是一種 交,
隨同,隨,同,隨同 是一種 同,
鎖定,鎖,定,鎖定 是一種 定,
所有,所,有,所有 是一種 有,
提交,提,交,提交 是一種 交,
同志,同,志,同志 是一種 志,
外行,外,行,外行 是一種 行,
外套,外,套,外套 是一種 套,
萬一,萬,一,萬一 是一種 一,
為敵,為,敵,為敵 是一種 敵,
為甚,為,甚,為甚 是一種 甚,
為主,為,主,為主 是一種 主,
為最,為,最,為最 是一種 最,
午後,午,後,午後 是一種 後,
午前,午,前,午前 是一種 前,
吸收,吸,收,吸收 是一種 收,
喜愛,喜,愛,喜愛 是一種 愛,
喜好,喜,好,喜好 是一種 好,
新任,新,任,新任 是一種 任,
兄弟,兄,弟,兄弟 是一種 弟,
也似,也,似,也似 是一種 似,
一半,一,半,一半 是一種 半,
一點,一,點,一點 是一種 點,
依據,依,據,依據 是一種 據,
一如,一,如,一如 是一種 如,
依循,依,循,依循 是一種 循,
以後,以,後,以後 是一種 後,
以降,以,降,以降 是一種 降,
以來,以,來,以來 是一種 來,
以內,以,內,以內 是一種 內,
以前,以,前,以前 是一種 前,
以外,以,外,以外 是一種 外,
意外,意,外,意外 是一種 外,
呦呦,呦,呦,呦呦 是一種 呦,
有的,有,的,有的 是一種 的,
友人,友,人,友人 是一種 人,
有如,有,如,有如 是一種 如,
有些,有,些,有些 是一種 些,
有意,有,意,有意 是一種 意,
誘人,誘,人,誘人 是一種 人,
予以,予,以,予以 是一種 以,
遇見,遇,見,遇見 是一種 見,
遠路,遠,路,遠路 是一種 路,
戰後,戰,後,戰後 是一種 後,
佔領,佔,領,佔領 是一種 領,
戰前,戰,前,戰前 是一種 前,
暫時,暫,時,暫時 是一種 時,
這裡,這,裡,這裡 是一種 裡,
整整,整,整,整整 是一種 整,
之後,之,後,之後 是一種 後,
之交,之,交,之交 是一種 交,
織女,織,女,織女 是一種 女,
之前,之,前,之前 是一種 前,
之秋,之,秋,之秋 是一種 秋,
週末,週,末,週末 是一種 末,
助陣,助,陣,助陣 是一種 陣,
專門,專,門,專門 是一種 門,
自稱,自,稱,自稱 是一種 稱,
自身,自,身,自身 是一種 身,
自我,自,我,自我 是一種 我,
醉心,醉,心,醉心 是一種 心,
坐車,坐,車,坐車 是一種 車,
處處,處,處,處處 是一種 處,
沒有,沒,有,沒有 是一種 有,
怎的,怎,的,怎的 是一種 的,
有否,有,否,有否 是一種 否,
幹嗎,幹,嗎,幹嗎 是一種 嗎,
幹麼,幹,麼,幹麼 是一種 麼,
有無,有,無,有無 是一種 無,
怎麼,怎,麼,怎麼 是一種 麼,
臨到,臨,到,臨到 是一種 到,
臨近,臨,近,臨近 是一種 近,
時值,時,值,時值 是一種 值,
等到,等,到,等到 是一種 到,
憑藉,憑,藉,憑藉 是一種 藉,
比照,比,照,比照 是一種 照,
除去,除,去,除去 是一種 去,
先決,先,決,先決 是一種 決,
低階,低,階,低階 是一種 階,
宏觀,宏,觀,宏觀 是一種 觀,
隔音,隔,音,隔音 是一種 音,
機動,機,動,機動 是一種 動,
有聲,有,聲,有聲 是一種 聲,
險遭,險,遭,險遭 是一種 遭,
無線,無,線,無線 是一種 線,
不如,不,如,不如 是一種 如,
便是,便,是,便是 是一種 是,
其次,其,次,其次 是一種 次,
另外,另,外,另外 是一種 外,
剛好,剛,好,剛好 是一種 好,
恰好,恰,好,恰好 是一種 好,
一律,一,律,一律 是一種 律,
最多,最,多,最多 是一種 多,
究竟,究,竟,究竟 是一種 竟,
確實,確,實,確實 是一種 實,
不可,不,可,不可 是一種 可,
先行,先,行,先行 是一種 行,
初步,初,步,初步 是一種 步,
很少,很,少,很少 是一種 少,
即可,即,可,即可 是一種 可,
同樣,同,樣,同樣 是一種 樣,
過份,過,份,過份 是一種 份,
這般,這,般,這般 是一種 般,
過分,過,分,過分 是一種 分,
不盡,不,盡,不盡 是一種 盡,
那樣,那,樣,那樣 是一種 樣,
這樣,這,樣,這樣 是一種 樣,
不已,不,已,不已 是一種 已,
如此,如,此,如此 是一種 此,
接連,接,連,接連 是一種 連,
不便,不,便,不便 是一種 便,
一手,一,手,一手 是一種 手,
小人,小,人,小人 是一種 人,
生計,生,計,生計 是一種 計,
油品,油,品,油品 是一種 品,
油煙,油,煙,油煙 是一種 煙,
勇士,勇,士,勇士 是一種 士,
品種,品,種,品種 是一種 種,
界線,界,線,界線 是一種 線,
約會,約,會,約會 是一種 會,
烏龜,烏,龜,烏龜 是一種 龜,
脈動,脈,動,脈動 是一種 動,
國界,國,界,國界 是一種 界,
專員,專,員,專員 是一種 員,
嫌疑,嫌,疑,嫌疑 是一種 疑,
嘴唇,嘴,唇,嘴唇 是一種 唇,
廢物,廢,物,廢物 是一種 物,
學運,學,運,學運 是一種 運,
機組,機,組,機組 是一種 組,
聲浪,聲,浪,聲浪 是一種 浪,
獵物,獵,物,獵物 是一種 物,
續集,續,集,續集 是一種 集,
二胡,二,胡,二胡 是一種 胡,
子宮,子,宮,子宮 是一種 宮,
用處,用,處,用處 是一種 處,
企圖,企,圖,企圖 是一種 圖,
光電,光,電,光電 是一種 電,
刑事,刑,事,刑事 是一種 事,
孤兒,孤,兒,孤兒 是一種 兒,
版面,版,面,版面 是一種 面,
花兒,花,兒,花兒 是一種 兒,
信箱,信,箱,信箱 是一種 箱,
眉毛,眉,毛,眉毛 是一種 毛,
國寶,國,寶,國寶 是一種 寶,
梅花,梅,花,梅花 是一種 花,
筆觸,筆,觸,筆觸 是一種 觸,
溪水,溪,水,溪水 是一種 水,
電路,電,路,電路 是一種 路,
論述,論,述,論述 是一種 述,
鋼筋,鋼,筋,鋼筋 是一種 筋,
聲光,聲,光,聲光 是一種 光,
觸角,觸,角,觸角 是一種 角,
林肯,林,肯,林肯 是一種 肯,
保羅,保,羅,保羅 是一種 羅,
曾參,曾,參,曾參 是一種 參,
禮品,禮,品,禮品 是一種 品,
牛頓,牛,頓,牛頓 是一種 頓,
王維,王,維,王維 是一種 維,
劉備,劉,備,劉備 是一種 備,
蘇武,蘇,武,蘇武 是一種 武,
傑克,傑,克,傑克 是一種 克,
巴哈,巴,哈,巴哈 是一種 哈,
史記,史,記,史記 是一種 記,
這裏,這,裏,這裏 是一種 裏,
東區,東,區,東區 是一種 區,
大溪,大,溪,大溪 是一種 溪,
西德,西,德,西德 是一種 德,
淡大,淡,大,淡大 是一種 大,
蒙古,蒙,古,蒙古 是一種 古,
遠東,遠,東,遠東 是一種 東,
外科,外,科,外科 是一種 科,
酒店,酒,店,酒店 是一種 店,
大量,大,量,大量 是一種 量,
不少,不,少,不少 是一種 少,
那些,那,些,那些 是一種 些,
之初,之,初,之初 是一種 初,
開始,開,始,開始 是一種 始,
大我,大,我,大我 是一種 我,
妳們,妳,們,妳們 是一種 們,
何者,何,者,何者 是一種 者,
誰人,誰,人,誰人 是一種 人,
咱們,咱,們,咱們 是一種 們,
筆者,筆,者,筆者 是一種 者,
為止,為,止,為止 是一種 止,
大眾,大,眾,大眾 是一種 眾,
彼此,彼,此,彼此 是一種 此,
本身,本,身,本身 是一種 身,
別人,別,人,別人 是一種 人,
吾人,吾,人,吾人 是一種 人,
站穩,站,穩,站穩 是一種 穩,
迴旋,迴,旋,迴旋 是一種 旋,
湧出,湧,出,湧出 是一種 出,
跑掉,跑,掉,跑掉 是一種 掉,
過冬,過,冬,過冬 是一種 冬,
擇期,擇,期,擇期 是一種 期,
隨俗,隨,俗,隨俗 是一種 俗,
作怪,作,怪,作怪 是一種 怪,
並行,並,行,並行 是一種 行,
揮手,揮,手,揮手 是一種 手,
進展,進,展,進展 是一種 展,
搖晃,搖,晃,搖晃 是一種 晃,
溜走,溜,走,溜走 是一種 走,
撒嬌,撒,嬌,撒嬌 是一種 嬌,
露面,露,面,露面 是一種 面,
估價,估,價,估價 是一種 價,
推辭,推,辭,推辭 是一種 辭,
減半,減,半,減半 是一種 半,
解僱,解,僱,解僱 是一種 僱,
過目,過,目,過目 是一種 目,
行禮,行,禮,行禮 是一種 禮,
扶正,扶,正,扶正 是一種 正,
效命,效,命,效命 是一種 命,
送行,送,行,送行 是一種 行,
淋濕,淋,濕,淋濕 是一種 濕,
施力,施,力,施力 是一種 力,
施虐,施,虐,施虐 是一種 虐,
示意,示,意,示意 是一種 意,
速寫,速,寫,速寫 是一種 寫,
隆乳,隆,乳,隆乳 是一種 乳,
敬禮,敬,禮,敬禮 是一種 禮,
護航,護,航,護航 是一種 航,
濃縮,濃,縮,濃縮 是一種 縮,
鬆綁,鬆,綁,鬆綁 是一種 綁,
分段,分,段,分段 是一種 段,
訂房,訂,房,訂房 是一種 房,
撐腰,撐,腰,撐腰 是一種 腰,
離散,離,散,離散 是一種 散,
分擔,分,擔,分擔 是一種 擔,
反觀,反,觀,反觀 是一種 觀,
拜託,拜,託,拜託 是一種 託,
乘坐,乘,坐,乘坐 是一種 坐,
追趕,追,趕,追趕 是一種 趕,
響應,響,應,響應 是一種 應,
補貼,補,貼,補貼 是一種 貼,
寄來,寄,來,寄來 是一種 來,
批發,批,發,批發 是一種 發,
寫給,寫,給,寫給 是一種 給,
捐出,捐,出,捐出 是一種 出,
獻藝,獻,藝,獻藝 是一種 藝,
寄給,寄,給,寄給 是一種 給,
出租,出,租,出租 是一種 租,
發包,發,包,發包 是一種 包,
送來,送,來,送來 是一種 來,
贈送,贈,送,贈送 是一種 送,
捐贈,捐,贈,捐贈 是一種 贈,
留給,留,給,留給 是一種 給,
頒發,頒,發,頒發 是一種 發,
勒索,勒,索,勒索 是一種 索,
分辨,分,辨,分辨 是一種 辨,
辯論,辯,論,辯論 是一種 論,
敘述,敘,述,敘述 是一種 述,
申訴,申,訴,申訴 是一種 訴,
防範,防,範,防範 是一種 範,
遞給,遞,給,遞給 是一種 給,
賣給,賣,給,賣給 是一種 給,
答覆,答,覆,答覆 是一種 覆,
聽見,聽,見,聽見 是一種 見,
研討,研,討,研討 是一種 討,
假設,假,設,假設 是一種 設,
記錄,記,錄,記錄 是一種 錄,
核准,核,准,核准 是一種 准,
示範,示,範,示範 是一種 範,
預測,預,測,預測 是一種 測,
證實,證,實,證實 是一種 實,
查獲,查,獲,查獲 是一種 獲,
反應,反,應,反應 是一種 應,
協商,協,商,協商 是一種 商,
廣播,廣,播,廣播 是一種 播,
預期,預,期,預期 是一種 期,
預估,預,估,預估 是一種 估,
任命,任,命,任命 是一種 命,
逼迫,逼,迫,逼迫 是一種 迫,
指引,指,引,指引 是一種 引,
意圖,意,圖,意圖 是一種 圖,
假裝,假,裝,假裝 是一種 裝,
代為,代,為,代為 是一種 為,
付諸,付,諸,付諸 是一種 諸,
命令,命,令,命令 是一種 令,
決心,決,心,決心 是一種 心,
試試,試,試,試試 是一種 試,
交由,交,由,交由 是一種 由,
試圖,試,圖,試圖 是一種 圖,
稱呼,稱,呼,稱呼 是一種 呼,
命名,命,名,命名 是一種 名,
接任,接,任,接任 是一種 任,
簡稱,簡,稱,簡稱 是一種 稱,
化為,化,為,化為 是一種 為,
俗稱,俗,稱,俗稱 是一種 稱,
出任,出,任,出任 是一種 任,
即為,即,為,即為 是一種 為,
竟是,竟,是,竟是 是一種 是,
名為,名,為,名為 是一種 為,
應邀,應,邀,應邀 是一種 邀,
可疑,可,疑,可疑 是一種 疑,
自大,自,大,自大 是一種 大,
到案,到,案,到案 是一種 案,
相等,相,等,相等 是一種 等,
凌亂,凌,亂,凌亂 是一種 亂,
荒唐,荒,唐,荒唐 是一種 唐,
新生,新,生,新生 是一種 生,
腐朽,腐,朽,腐朽 是一種 朽,
不實,不,實,不實 是一種 實,
交替,交,替,交替 是一種 替,
屆滿,屆,滿,屆滿 是一種 滿,
相愛,相,愛,相愛 是一種 愛,
堅硬,堅,硬,堅硬 是一種 硬,
粗心,粗,心,粗心 是一種 心,
細微,細,微,細微 是一種 微,
親生,親,生,親生 是一種 生,
遲疑,遲,疑,遲疑 是一種 疑,
架空,架,空,架空 是一種 空,
動心,動,心,動心 是一種 心,
浸淫,浸,淫,浸淫 是一種 淫,
發源,發,源,發源 是一種 源,
歷時,歷,時,歷時 是一種 時,
讚賞,讚,賞,讚賞 是一種 賞,
綿延,綿,延,綿延 是一種 延,
累計,累,計,累計 是一種 計,
包容,包,容,包容 是一種 容,
維繫,維,繫,維繫 是一種 繫,
降到,降,到,降到 是一種 到,
忍耐,忍,耐,忍耐 是一種 耐,
推崇,推,崇,推崇 是一種 崇,
源自,源,自,源自 是一種 自,
富有,富,有,富有 是一種 有,
降至,降,至,降至 是一種 至,
反射,反,射,反射 是一種 射,
仰賴,仰,賴,仰賴 是一種 賴,
遵循,遵,循,遵循 是一種 循,
不符,不,符,不符 是一種 符,
恭喜,恭,喜,恭喜 是一種 喜,
疏忽,疏,忽,疏忽 是一種 忽,
自覺,自,覺,自覺 是一種 覺,
等候,等,候,等候 是一種 候,
傾向,傾,向,傾向 是一種 向,
留意,留,意,留意 是一種 意,
不解,不,解,不解 是一種 解,
寧可,寧,可,寧可 是一種 可,
歡喜,歡,喜,歡喜 是一種 喜,
弄得,弄,得,弄得 是一種 得,
涉嫌,涉,嫌,涉嫌 是一種 嫌,
恐懼,恐,懼,恐懼 是一種 懼,
依賴,依,賴,依賴 是一種 賴,
曉得,曉,得,曉得 是一種 得,
招致,招,致,招致 是一種 致,
任由,任,由,任由 是一種 由,
輪到,輪,到,輪到 是一種 到,
懶得,懶,得,懶得 是一種 得,
自願,自,願,自願 是一種 願,
後悔,後,悔,後悔 是一種 悔,
提早,提,早,提早 是一種 早,
無意,無,意,無意 是一種 意,
被迫,被,迫,被迫 是一種 迫,
有心,有,心,有心 是一種 心,
致力,致,力,致力 是一種 力,
習慣,習,慣,習慣 是一種 慣,
用來,用,來,用來 是一種 來,
角秒,角,秒,角秒 是一種 秒,
秒鐘,秒,鐘,秒鐘 是一種 鐘,
用途,用,途,用途 是一種 途,
電氣,電,氣,電氣 是一種 氣,
秒角,秒,角,秒角 是一種 角,
口操,口,操,口操 是一種 操,
胡琴,胡,琴,胡琴 是一種 琴,
梅樹,梅,樹,梅樹 是一種 樹,
梅子,梅,子,梅子 是一種 子,
角分,角,分,角分 是一種 分,
四周,四,周,四周 是一種 周,
分角,分,角,分角 是一種 角,
感覺,感,覺,感覺 是一種 覺,
縱容,縱,容,縱容 是一種 容,
聲音,聲,音,聲音 是一種 音,
之內,之,內,之內 是一種 內,
之外,之,外,之外 是一種 外,
禮物,禮,物,禮物 是一種 物,
染色,染,色,染色 是一種 色,
那些,那,些,那些 是一種 些,
哪些,哪,些,哪些 是一種 些,
無聲,無,聲,無聲 是一種 聲,
寧願,寧,願,寧願 是一種 願,
忽略,忽,略,忽略 是一種 略,
忽視,忽,視,忽視 是一種 視,
好發,好,發,好發 是一種 發,
好好,好,好,好好 是一種 好,
結束,結,束,結束 是一種 束,
鍋子,鍋,子,鍋子 是一種 子,
杯子,杯,子,杯子 是一種 子,
叉子,叉,子,叉子 是一種 子,
湯匙,湯,匙,湯匙 是一種 匙,
勺子,勺,子,勺子 是一種 子,
杓子,杓,子,杓子 是一種 子,
補助,補,助,補助 是一種 助,
貼補,貼,補,貼補 是一種 補,
案底,案,底,案底 是一種 底,
前後,前,後,前後 是一種 後,
討論,討,論,討論 是一種 論,
商量,商,量,商量 是一種 量,
聲稱,聲,稱,聲稱 是一種 稱,
確定,確,定,確定 是一種 定,
告訴,告,訴,告訴 是一種 訴,
決定,決,定,決定 是一種 定,
她們,她,們,她們 是一種 們,
它們,它,們,它們 是一種 們,
本人,本,人,本人 是一種 人,
他人,他,人,他人 是一種 人,
牠們,牠,們,牠們 是一種 們,
個人,個,人,個人 是一種 人,
人家,人,家,人家 是一種 家,
你們,你,們,你們 是一種 們,
照舊,照,舊,照舊 是一種 舊,
一般,一,般,一般 是一種 般,
依舊,依,舊,依舊 是一種 舊,
連接,連,接,連接 是一種 接,
南區,南,區,南區 是一種 區,
西區,西,區,西區 是一種 區,
西南,西,南,西南 是一種 南,
東南,東,南,東南 是一種 南,
東亞,東,亞,東亞 是一種 亞,
少爺,少,爺,少爺 是一種 爺,
弟弟,弟,弟,弟弟 是一種 弟,
呼聲,呼,聲,呼聲 是一種 聲,
妹妹,妹,妹,妹妹 是一種 妹,
視為,視,為,視為 是一種 為,
萬萬,萬,萬,萬萬 是一種 萬,
提前,提,前,提前 是一種 前,
人家,人,家,人家 是一種 家,
不止,不,止,不止 是一種 止,
化妝,化,妝,化妝 是一種 妝,
化裝,化,裝,化裝 是一種 裝,
各造,各,造,各造 是一種 造,
敝人,敝,人,敝人 是一種 人,
引致,引,致,引致 是一種 致,
生疏,生,疏,生疏 是一種 疏,
補妝,補,妝,補妝 是一種 妝,
慶生,慶,生,慶生 是一種 生,
勸告,勸,告,勸告 是一種 告,
惡補,惡,補,惡補 是一種 補,
泰半,泰,半,泰半 是一種 半,
撒謊,撒,謊,撒謊 是一種 謊,
趕路,趕,路,趕路 是一種 路,
不許,不,許,不許 是一種 許,
掛勾,掛,勾,掛勾 是一種 勾,
學佛,學,佛,學佛 是一種 佛,
彼得,彼,得,彼得 是一種 得,
點兒,點,兒,點兒 是一種 兒,
夏娃,夏,娃,夏娃 是一種 娃,
等同,等,同,等同 是一種 同,
近乎,近,乎,近乎 是一種 乎,
樸實,樸,實,樸實 是一種 實,
本錢,本,錢,本錢 是一種 錢,
名家,名,家,名家 是一種 家,
盒子,盒,子,盒子 是一種 子,
罪名,罪,名,罪名 是一種 名,
心疼,心,疼,心疼 是一種 疼,
尖峰,尖,峰,尖峰 是一種 峰,
乃兄,乃,兄,乃兄 是一種 兄,
咱家,咱,家,咱家 是一種 家,
先父,先,父,先父 是一種 父,
啥子,啥,子,啥子 是一種 子,
專擅,專,擅,專擅 是一種 擅,
聽任,聽,任,聽任 是一種 任,
不敬,不,敬,不敬 是一種 敬,
效力,效,力,效力 是一種 力,
裝箱,裝,箱,裝箱 是一種 箱,
止住,止,住,止住 是一種 住,
致謝,致,謝,致謝 是一種 謝,
周旋,周,旋,周旋 是一種 旋,
鼓動,鼓,動,鼓動 是一種 動,
何等,何,等,何等 是一種 等,
頒給,頒,給,頒給 是一種 給,
交保,交,保,交保 是一種 保,
發聲,發,聲,發聲 是一種 聲,
泰雅,泰,雅,泰雅 是一種 雅,
不屑,不,屑,不屑 是一種 屑,
觀音,觀,音,觀音 是一種 音,
為生,為,生,為生 是一種 生,
胡亂,胡,亂,胡亂 是一種 亂,
反感,反,感,反感 是一種 感,
有志,有,志,有志 是一種 志,
奏效,奏,效,奏效 是一種 效,
停電,停,電,停電 是一種 電,
敬業,敬,業,敬業 是一種 業,
分別,分,別,分別 是一種 別,
名人,名,人,名人 是一種 人,
面目,面,目,面目 是一種 目,
戰術,戰,術,戰術 是一種 術,
空調,空,調,空調 是一種 調,
聖火,聖,火,聖火 是一種 火,
不忘,不,忘,不忘 是一種 忘,
容忍,容,忍,容忍 是一種 忍,
應徵,應,徵,應徵 是一種 徵,
牽涉,牽,涉,牽涉 是一種 涉,
信託,信,託,信託 是一種 託,
蘭嶼,蘭,嶼,蘭嶼 是一種 嶼,
家用,家,用,家用 是一種 用,
祖國,祖,國,祖國 是一種 國,
存有,存,有,存有 是一種 有,
視聽,視,聽,視聽 是一種 聽,
研判,研,判,研判 是一種 判,
出自,出,自,出自 是一種 自,
交代,交,代,交代 是一種 代,
孝順,孝,順,孝順 是一種 順,
不顧,不,顧,不顧 是一種 顧,
諸多,諸,多,諸多 是一種 多,
