lemma,c1,c2,statement,response
哪些,哪,些,哪些 是一種 些,
忽略,忽,略,忽略 是一種 略,
好好,好,好,好好 是一種 好,
杯子,杯,子,杯子 是一種 子,
勺子,勺,子,勺子 是一種 子,
貼補,貼,補,貼補 是一種 補,
討論,討,論,討論 是一種 論,
確定,確,定,確定 是一種 定,
她們,她,們,她們 是一種 們,
他人,他,人,他人 是一種 人,
人家,人,家,人家 是一種 家,
一般,一,般,一般 是一種 般,
南區,南,區,南區 是一種 區,
東南,東,南,東南 是一種 南,
弟弟,弟,弟,弟弟 是一種 弟,
視為,視,為,視為 是一種 為,
人家,人,家,人家 是一種 家,
化裝,化,裝,化裝 是一種 裝,
引致,引,致,引致 是一種 致,
慶生,慶,生,慶生 是一種 生,
泰半,泰,半,泰半 是一種 半,
不許,不,許,不許 是一種 許,
彼得,彼,得,彼得 是一種 得,
等同,等,同,等同 是一種 同,
本錢,本,錢,本錢 是一種 錢,
罪名,罪,名,罪名 是一種 名,
乃兄,乃,兄,乃兄 是一種 兄,
啥子,啥,子,啥子 是一種 子,
不敬,不,敬,不敬 是一種 敬,
止住,止,住,止住 是一種 住,
鼓動,鼓,動,鼓動 是一種 動,
交保,交,保,交保 是一種 保,
不屑,不,屑,不屑 是一種 屑,
胡亂,胡,亂,胡亂 是一種 亂,
奏效,奏,效,奏效 是一種 效,
分別,分,別,分別 是一種 別,
戰術,戰,術,戰術 是一種 術,
不忘,不,忘,不忘 是一種 忘,
牽涉,牽,涉,牽涉 是一種 涉,
家用,家,用,家用 是一種 用,
視聽,視,聽,視聽 是一種 聽,
交代,交,代,交代 是一種 代,
諸多,諸,多,諸多 是一種 多,
發覺,發,覺,發覺 是一種 覺,
結果,結,果,結果 是一種 果,
一些,一,些,一些 是一種 些,
鈞座,鈞,座,鈞座 是一種 座,
法辦,法,辦,法辦 是一種 辦,
勒令,勒,令,勒令 是一種 令,
助選,助,選,助選 是一種 選,
視作,視,作,視作 是一種 作,
結為,結,為,結為 是一種 為,
反動,反,動,反動 是一種 動,
到期,到,期,到期 是一種 期,
機緣,機,緣,機緣 是一種 緣,
記住,記,住,記住 是一種 住,
做錯,做,錯,做錯 是一種 錯,
多多,多,多,多多 是一種 多,
入口,入,口,入口 是一種 口,
保有,保,有,保有 是一種 有,
忘記,忘,記,忘記 是一種 記,
這些,這,些,這些 是一種 些,
怎敢,怎,敢,怎敢 是一種 敢,
失之,失,之,失之 是一種 之,
您們,您,們,您們 是一種 們,
接生,接,生,接生 是一種 生,
實是,實,是,實是 是一種 是,
逗留,逗,留,逗留 是一種 留,
分出,分,出,分出 是一種 出,
滾滾,滾,滾,滾滾 是一種 滾,
為準,為,準,為準 是一種 準,
手勢,手,勢,手勢 是一種 勢,
視力,視,力,視力 是一種 力,
車行,車,行,車行 是一種 行,
制止,制,止,制止 是一種 止,
核定,核,定,核定 是一種 定,
顧及,顧,及,顧及 是一種 及,
優先,優,先,優先 是一種 先,
允許,允,許,允許 是一種 許,
若干,若,干,若干 是一種 干,
主張,主,張,主張 是一種 張,
永遠,永,遠,永遠 是一種 遠,
負責,負,責,負責 是一種 責,
寧肯,寧,肯,寧肯 是一種 肯,
彼等,彼,等,彼等 是一種 等,
為證,為,證,為證 是一種 證,
誘發,誘,發,誘發 是一種 發,
驗尿,驗,尿,驗尿 是一種 尿,
和聲,和,聲,和聲 是一種 聲,
補給,補,給,補給 是一種 給,
開動,開,動,開動 是一種 動,
木蘭,木,蘭,木蘭 是一種 蘭,
相應,相,應,相應 是一種 應,
狹義,狹,義,狹義 是一種 義,
占有,占,有,占有 是一種 有,
分化,分,化,分化 是一種 化,
深感,深,感,深感 是一種 感,
推測,推,測,推測 是一種 測,
瀕臨,瀕,臨,瀕臨 是一種 臨,
指定,指,定,指定 是一種 定,
提醒,提,醒,提醒 是一種 醒,
賢妻,賢,妻,賢妻 是一種 妻,
吸血,吸,血,吸血 是一種 血,
罰錢,罰,錢,罰錢 是一種 錢,
其二,其,二,其二 是一種 二,
力圖,力,圖,力圖 是一種 圖,
奉勸,奉,勸,奉勸 是一種 勸,
發送,發,送,發送 是一種 送,
解毒,解,毒,解毒 是一種 毒,
搖擺,搖,擺,搖擺 是一種 擺,
代謝,代,謝,代謝 是一種 謝,
結實,結,實,結實 是一種 實,
連任,連,任,連任 是一種 任,
蘭花,蘭,花,蘭花 是一種 花,
誤會,誤,會,誤會 是一種 會,
用到,用,到,用到 是一種 到,
轟炸,轟,炸,轟炸 是一種 炸,
隔壁,隔,壁,隔壁 是一種 壁,
期盼,期,盼,期盼 是一種 盼,
容納,容,納,容納 是一種 納,
反省,反,省,反省 是一種 省,
官人,官,人,官人 是一種 人,
妾身,妾,身,妾身 是一種 身,
照辦,照,辦,照辦 是一種 辦,
賴以,賴,以,賴以 是一種 以,
存檔,存,檔,存檔 是一種 檔,
出錢,出,錢,出錢 是一種 錢,
彈性,彈,性,彈性 是一種 性,
性感,性,感,性感 是一種 感,
稱做,稱,做,稱做 是一種 做,
冷戰,冷,戰,冷戰 是一種 戰,
深信,深,信,深信 是一種 信,
點點,點,點,點點 是一種 點,
劇院,劇,院,劇院 是一種 院,
目睹,目,睹,目睹 是一種 睹,
剖析,剖,析,剖析 是一種 析,
順便,順,便,順便 是一種 便,
報告,報,告,報告 是一種 告,
剛剛,剛,剛,剛剛 是一種 剛,
令郎,令,郎,令郎 是一種 郎,
令兄,令,兄,令兄 是一種 兄,
心醉,心,醉,心醉 是一種 醉,
裝作,裝,作,裝作 是一種 作,
其一,其,一,其一 是一種 一,
為伍,為,伍,為伍 是一種 伍,
最少,最,少,最少 是一種 少,
留念,留,念,留念 是一種 念,
驚醒,驚,醒,驚醒 是一種 醒,
大臣,大,臣,大臣 是一種 臣,
聽覺,聽,覺,聽覺 是一種 覺,
點燃,點,燃,點燃 是一種 燃,
沿岸,沿,岸,沿岸 是一種 岸,
師院,師,院,師院 是一種 院,
週年,週,年,週年 是一種 年,
遺忘,遺,忘,遺忘 是一種 忘,
最早,最,早,最早 是一種 早,
交給,交,給,交給 是一種 給,
可見,可,見,可見 是一種 見,
大家,大,家,大家 是一種 家,
環繞,環,繞,環繞 是一種 繞,
靠岸,靠,岸,靠岸 是一種 岸,
貼身,貼,身,貼身 是一種 身,
林肯,林,肯,林肯 是一種 肯,
口角,口,角,口角 是一種 角,
以為,以,為,以為 是一種 為,
協約,協,約,協約 是一種 約,
機組,機,組,機組 是一種 組,
謀生,謀,生,謀生 是一種 生,
紀錄,紀,錄,紀錄 是一種 錄,
一旁,一,旁,一旁 是一種 旁,
推論,推,論,推論 是一種 論,
早晨,早,晨,早晨 是一種 晨,
名家,名,家,名家 是一種 家,
美帝,美,帝,美帝 是一種 帝,
人氣,人,氣,人氣 是一種 氣,
惹到,惹,到,惹到 是一種 到,
反映,反,映,反映 是一種 映,
商業,商,業,商業 是一種 業,
載明,載,明,載明 是一種 明,
我們,我,們,我們 是一種 們,
種子,種,子,種子 是一種 子,
生存,生,存,生存 是一種 存,
妻子,妻,子,妻子 是一種 子,
呼吸,呼,吸,呼吸 是一種 吸,
結實,結,實,結實 是一種 實,
棍子,棍,子,棍子 是一種 子,
不覺,不,覺,不覺 是一種 覺,
警覺,警,覺,警覺 是一種 覺,
萬分,萬,分,萬分 是一種 分,
沙沙,沙,沙,沙沙 是一種 沙,
無疑,無,疑,無疑 是一種 疑,
財政,財,政,財政 是一種 政,
彼得,彼,得,彼得 是一種 得,
身為,身,為,身為 是一種 為,
金融,金,融,金融 是一種 融,
國防,國,防,國防 是一種 防,
階段,階,段,階段 是一種 段,
辦法,辦,法,辦法 是一種 法,
過程,過,程,過程 是一種 程,
喜歡,喜,歡,喜歡 是一種 歡,
學生,學,生,學生 是一種 生,
裝做,裝,做,裝做 是一種 做,
大笑,大,笑,大笑 是一種 笑,
定位,定,位,定位 是一種 位,
敏感,敏,感,敏感 是一種 感,
商店,商,店,商店 是一種 店,
環保,環,保,環保 是一種 保,
民生,民,生,民生 是一種 生,
福特,福,特,福特 是一種 特,
吸毒,吸,毒,吸毒 是一種 毒,
大衛,大,衛,大衛 是一種 衛,
那兒,那,兒,那兒 是一種 兒,
遺址,遺,址,遺址 是一種 址,
主力,主,力,主力 是一種 力,
金錢,金,錢,金錢 是一種 錢,
工會,工,會,工會 是一種 會,
穩定,穩,定,穩定 是一種 定,
福特,福,特,福特 是一種 特,
德國,德,國,德國 是一種 國,
演出,演,出,演出 是一種 出,
河川,河,川,河川 是一種 川,
危機,危,機,危機 是一種 機,
展開,展,開,展開 是一種 開,
戰爭,戰,爭,戰爭 是一種 爭,
福特,福,特,福特 是一種 特,
類型,類,型,類型 是一種 型,
顧問,顧,問,顧問 是一種 問,
住宅,住,宅,住宅 是一種 宅,
主動,主,動,主動 是一種 動,
法令,法,令,法令 是一種 令,
形容,形,容,形容 是一種 容,
法律,法,律,法律 是一種 律,
校園,校,園,校園 是一種 園,
作為,作,為,作為 是一種 為,
推動,推,動,推動 是一種 動,
了解,了,解,了解 是一種 解,
分班,分,班,分班 是一種 班,
造勢,造,勢,造勢 是一種 勢,
煮熟,煮,熟,煮熟 是一種 熟,
相比,相,比,相比 是一種 比,
陽明,陽,明,陽明 是一種 明,
進來,進,來,進來 是一種 來,
門口,門,口,門口 是一種 口,
建造,建,造,建造 是一種 造,
優秀,優,秀,優秀 是一種 秀,
女士,女,士,女士 是一種 士,
美好,美,好,美好 是一種 好,
餐廳,餐,廳,餐廳 是一種 廳,
一致,一,致,一致 是一種 致,
這邊,這,邊,這邊 是一種 邊,
泰國,泰,國,泰國 是一種 國,
因應,因,應,因應 是一種 應,
讀者,讀,者,讀者 是一種 者,
慢慢,慢,慢,慢慢 是一種 慢,
肯定,肯,定,肯定 是一種 定,
兒童,兒,童,兒童 是一種 童,
簡單,簡,單,簡單 是一種 單,
人士,人,士,人士 是一種 士,
事實,事,實,事實 是一種 實,
指出,指,出,指出 是一種 出,
照相,照,相,照相 是一種 相,
付費,付,費,付費 是一種 費,
遭遇,遭,遇,遭遇 是一種 遇,
師範,師,範,師範 是一種 範,
過來,過,來,過來 是一種 來,
崇拜,崇,拜,崇拜 是一種 拜,
走向,走,向,走向 是一種 向,
保守,保,守,保守 是一種 守,
民意,民,意,民意 是一種 意,
紐約,紐,約,紐約 是一種 約,
遊客,遊,客,遊客 是一種 客,
位置,位,置,位置 是一種 置,
女孩,女,孩,女孩 是一種 孩,
修行,修,行,修行 是一種 行,
降低,降,低,降低 是一種 低,
失去,失,去,失去 是一種 去,
聽到,聽,到,聽到 是一種 到,
健康,健,康,健康 是一種 康,
小孩,小,孩,小孩 是一種 孩,
強調,強,調,強調 是一種 調,
同學,同,學,同學 是一種 學,
國際,國,際,國際 是一種 際,
判刑,判,刑,判刑 是一種 刑,
出面,出,面,出面 是一種 面,
家鄉,家,鄉,家鄉 是一種 鄉,
殘障,殘,障,殘障 是一種 障,
外界,外,界,外界 是一種 界,
財務,財,務,財務 是一種 務,
天空,天,空,天空 是一種 空,
外面,外,面,外面 是一種 面,
保險,保,險,保險 是一種 險,
固定,固,定,固定 是一種 定,
有趣,有,趣,有趣 是一種 趣,
見到,見,到,見到 是一種 到,
觀眾,觀,眾,觀眾 是一種 眾,
出來,出,來,出來 是一種 來,
願意,願,意,願意 是一種 意,
事業,事,業,事業 是一種 業,
開發,開,發,開發 是一種 發,
所以,所,以,所以 是一種 以,
分區,分,區,分區 是一種 區,
催眠,催,眠,催眠 是一種 眠,
出身,出,身,出身 是一種 身,
緊急,緊,急,緊急 是一種 急,
歐美,歐,美,歐美 是一種 美,
難得,難,得,難得 是一種 得,
偉大,偉,大,偉大 是一種 大,
廣泛,廣,泛,廣泛 是一種 泛,
採購,採,購,採購 是一種 購,
先進,先,進,先進 是一種 進,
眼前,眼,前,眼前 是一種 前,
證明,證,明,證明 是一種 明,
資金,資,金,資金 是一種 金,
準備,準,備,準備 是一種 備,
來自,來,自,來自 是一種 自,
正式,正,式,正式 是一種 式,
學術,學,術,學術 是一種 術,
女人,女,人,女人 是一種 人,
容易,容,易,容易 是一種 易,
先天,先,天,先天 是一種 天,
停車,停,車,停車 是一種 車,
遭到,遭,到,遭到 是一種 到,
法院,法,院,法院 是一種 院,
機車,機,車,機車 是一種 車,
特定,特,定,特定 是一種 定,
任務,任,務,任務 是一種 務,
不易,不,易,不易 是一種 易,
後面,後,面,後面 是一種 面,
碰到,碰,到,碰到 是一種 到,
國人,國,人,國人 是一種 人,
危險,危,險,危險 是一種 險,
保存,保,存,保存 是一種 存,
人物,人,物,人物 是一種 物,
婦女,婦,女,婦女 是一種 女,
科學,科,學,科學 是一種 學,
人民,人,民,人民 是一種 民,
特別,特,別,特別 是一種 別,
國家,國,家,國家 是一種 家,
大衛,大,衛,大衛 是一種 衛,
淡江,淡,江,淡江 是一種 江,
自有,自,有,自有 是一種 有,
非洲,非,洲,非洲 是一種 洲,
浪漫,浪,漫,浪漫 是一種 漫,
古典,古,典,古典 是一種 典,
種類,種,類,種類 是一種 類,
全面,全,面,全面 是一種 面,
創意,創,意,創意 是一種 意,
連線,連,線,連線 是一種 線,
顧客,顧,客,顧客 是一種 客,
良好,良,好,良好 是一種 好,
記得,記,得,記得 是一種 得,
意思,意,思,意思 是一種 思,
新竹,新,竹,新竹 是一種 竹,
採用,採,用,採用 是一種 用,
記者,記,者,記者 是一種 者,
業者,業,者,業者 是一種 者,
技術,技,術,技術 是一種 術,
時候,時,候,時候 是一種 候,
花錢,花,錢,花錢 是一種 錢,
單一,單,一,單一 是一種 一,
喪失,喪,失,喪失 是一種 失,
自殺,自,殺,自殺 是一種 殺,
超越,超,越,超越 是一種 越,
做人,做,人,做人 是一種 人,
色彩,色,彩,色彩 是一種 彩,
讀書,讀,書,讀書 是一種 書,
兩岸,兩,岸,兩岸 是一種 岸,
維持,維,持,維持 是一種 持,
目的,目,的,目的 是一種 的,
敬酒,敬,酒,敬酒 是一種 酒,
拍照,拍,照,拍照 是一種 照,
奧運,奧,運,奧運 是一種 運,
這兒,這,兒,這兒 是一種 兒,
失敗,失,敗,失敗 是一種 敗,
外國,外,國,外國 是一種 國,
趨勢,趨,勢,趨勢 是一種 勢,
學院,學,院,學院 是一種 院,
員工,員,工,員工 是一種 工,
功能,功,能,功能 是一種 能,
辯護,辯,護,辯護 是一種 護,
驚人,驚,人,驚人 是一種 人,
飯店,飯,店,飯店 是一種 店,
主席,主,席,主席 是一種 席,
青年,青,年,青年 是一種 年,
保持,保,持,保持 是一種 持,
協助,協,助,協助 是一種 助,
觀念,觀,念,觀念 是一種 念,
哈佛,哈,佛,哈佛 是一種 佛,
刻意,刻,意,刻意 是一種 意,
收費,收,費,收費 是一種 費,
發出,發,出,發出 是一種 出,
水準,水,準,水準 是一種 準,
少年,少,年,少年 是一種 年,
國小,國,小,國小 是一種 小,
週旋,週,旋,週旋 是一種 旋,
新光,新,光,新光 是一種 光,
兄弟,兄,弟,兄弟 是一種 弟,
生意,生,意,生意 是一種 意,
大學,大,學,大學 是一種 學,
便宜,便,宜,便宜 是一種 宜,
應該,應,該,應該 是一種 該,
去年,去,年,去年 是一種 年,
最近,最,近,最近 是一種 近,
標準,標,準,標準 是一種 準,
麥克,麥,克,麥克 是一種 克,
患者,患,者,患者 是一種 者,
推估,推,估,推估 是一種 估,
做法,做,法,做法 是一種 法,
多雨,多,雨,多雨 是一種 雨,
單薄,單,薄,單薄 是一種 薄,
證據,證,據,證據 是一種 據,
殆盡,殆,盡,殆盡 是一種 盡,
後期,後,期,後期 是一種 期,
航運,航,運,航運 是一種 運,
燃燒,燃,燒,燃燒 是一種 燒,
河口,河,口,河口 是一種 口,
黏附,黏,附,黏附 是一種 附,
水泥,水,泥,水泥 是一種 泥,
挖出,挖,出,挖出 是一種 出,
夏季,夏,季,夏季 是一種 季,
相去,相,去,相去 是一種 去,
動盪,動,盪,動盪 是一種 盪,
製藥,製,藥,製藥 是一種 藥,
廣大,廣,大,廣大 是一種 大,
開闊,開,闊,開闊 是一種 闊,
養分,養,分,養分 是一種 分,
儲蓄,儲,蓄,儲蓄 是一種 蓄,
容量,容,量,容量 是一種 量,
捕捉,捕,捉,捕捉 是一種 捉,
嫉妒,嫉,妒,嫉妒 是一種 妒,
驚嚇,驚,嚇,驚嚇 是一種 嚇,
心煩,心,煩,心煩 是一種 煩,
欣喜,欣,喜,欣喜 是一種 喜,
歡愉,歡,愉,歡愉 是一種 愉,
驚慌,驚,慌,驚慌 是一種 慌,
冷淡,冷,淡,冷淡 是一種 淡,
害羞,害,羞,害羞 是一種 羞,
愉悅,愉,悅,愉悅 是一種 悅,
可惡,可,惡,可惡 是一種 惡,
悲哀,悲,哀,悲哀 是一種 哀,
憤恨,憤,恨,憤恨 是一種 恨,
掛念,掛,念,掛念 是一種 念,
氣憤,氣,憤,氣憤 是一種 憤,
思念,思,念,思念 是一種 念,
心酸,心,酸,心酸 是一種 酸,
歡悅,歡,悅,歡悅 是一種 悅,
心急,心,急,心急 是一種 急,
憂心,憂,心,憂心 是一種 心,
哀愁,哀,愁,哀愁 是一種 愁,
愁苦,愁,苦,愁苦 是一種 苦,
敵視,敵,視,敵視 是一種 視,
悲苦,悲,苦,悲苦 是一種 苦,
歡暢,歡,暢,歡暢 是一種 暢,
暖身,暖,身,暖身 是一種 身,
