lemma,c1,c2,statement,response,參考cwn def.
企圖,企,圖,企圖 是一種 圖,1,我覺得是但找不到
孤兒,孤,兒,孤兒 是一種 兒,1,
信箱,信,箱,信箱 是一種 箱,1,
梅花,梅,花,梅花 是一種 花,1,
電路,電,路,電路 是一種 路,1,
聲光,聲,光,聲光 是一種 光,0,
保羅,保,羅,保羅 是一種 羅,0,
牛頓,牛,頓,牛頓 是一種 頓,0,
蘇武,蘇,武,蘇武 是一種 武,0,
史記,史,記,史記 是一種 記,1,
大溪,大,溪,大溪 是一種 溪,0,
蒙古,蒙,古,蒙古 是一種 古,0,
酒店,酒,店,酒店 是一種 店,1,
那些,那,些,那些 是一種 些,0,
大我,大,我,大我 是一種 我,1,
誰人,誰,人,誰人 是一種 人,0,
為止,為,止,為止 是一種 止,0,
本身,本,身,本身 是一種 身,0,
站穩,站,穩,站穩 是一種 穩,0,
跑掉,跑,掉,跑掉 是一種 掉,0,
隨俗,隨,俗,隨俗 是一種 俗,0,
揮手,揮,手,揮手 是一種 手,0,
溜走,溜,走,溜走 是一種 走,1,
估價,估,價,估價 是一種 價,0,
解僱,解,僱,解僱 是一種 僱,0,
扶正,扶,正,扶正 是一種 正,0,
淋濕,淋,濕,淋濕 是一種 濕,1,
示意,示,意,示意 是一種 意,0,
敬禮,敬,禮,敬禮 是一種 禮,0,
鬆綁,鬆,綁,鬆綁 是一種 綁,0,
撐腰,撐,腰,撐腰 是一種 腰,0,
反觀,反,觀,反觀 是一種 觀,1,
追趕,追,趕,追趕 是一種 趕,1,"<CwnSense[04105601](追趕): 從後追逐，企圖達到或超過在前方運動的目標。> 
<CwnSense[06734501](趕): 從後追逐，企圖達到或超過在前方運動的目標。> "
寄來,寄,來,寄來 是一種 來,0,
捐出,捐,出,捐出 是一種 出,0,
出租,出,租,出租 是一種 租,1,
贈送,贈,送,贈送 是一種 送,1,
頒發,頒,發,頒發 是一種 發,1,
辯論,辯,論,辯論 是一種 論,1,
防範,防,範,防範 是一種 範,0,
答覆,答,覆,答覆 是一種 覆,1,
假設,假,設,假設 是一種 設,0,
示範,示,範,示範 是一種 範,0,
查獲,查,獲,查獲 是一種 獲,1,
廣播,廣,播,廣播 是一種 播,1,
任命,任,命,任命 是一種 命,0,
意圖,意,圖,意圖 是一種 圖,1,
付諸,付,諸,付諸 是一種 諸,0,
試試,試,試,試試 是一種 試,0,
稱呼,稱,呼,稱呼 是一種 呼,1,"<CwnSense[04120101](稱呼): 叫特定對象的名字是後述對象。>
<CwnSense[07041405](呼): 叫特定對象的名字是後述對象。> "
簡稱,簡,稱,簡稱 是一種 稱,1,
出任,出,任,出任 是一種 任,1,
名為,名,為,名為 是一種 為,0,
自大,自,大,自大 是一種 大,0,
凌亂,凌,亂,凌亂 是一種 亂,1,
腐朽,腐,朽,腐朽 是一種 朽,1,
屆滿,屆,滿,屆滿 是一種 滿,0,
粗心,粗,心,粗心 是一種 心,0,
遲疑,遲,疑,遲疑 是一種 疑,1,
浸淫,浸,淫,浸淫 是一種 淫,0,
讚賞,讚,賞,讚賞 是一種 賞,1,
包容,包,容,包容 是一種 容,1,
忍耐,忍,耐,忍耐 是一種 耐,0,
富有,富,有,富有 是一種 有,0,
仰賴,仰,賴,仰賴 是一種 賴,0,
恭喜,恭,喜,恭喜 是一種 喜,0,
等候,等,候,等候 是一種 候,1,
不解,不,解,不解 是一種 解,0,
弄得,弄,得,弄得 是一種 得,0,
依賴,依,賴,依賴 是一種 賴,0,
任由,任,由,任由 是一種 由,0,
自願,自,願,自願 是一種 願,0,
無意,無,意,無意 是一種 意,0,
致力,致,力,致力 是一種 力,0,
角秒,角,秒,角秒 是一種 秒,1,"<CwnSense[04144801](角秒): 計算角度的單位。一秒為一分的六十分之一。>
<CwnSense[04082403](秒): 計算角度的單位。一秒為一分的六十分之一。> "
電氣,電,氣,電氣 是一種 氣,1,
胡琴,胡,琴,胡琴 是一種 琴,1,
角分,角,分,角分 是一種 分,1,"<CwnSense[04146501](角分): 計算角度的單位，一分為一度的六十分之一。>
<CwnSense[05007208](分): 計算角度的單位，一分為一度的六十分之一。> "
感覺,感,覺,感覺 是一種 覺,1,
之內,之,內,之內 是一種 內,0,
染色,染,色,染色 是一種 色,0,
無聲,無,聲,無聲 是一種 聲,0,
忽視,忽,視,忽視 是一種 視,1,"<CwnSense[04156801](忽視): 不給予應有的重視。> 
<CwnSense[04018302](視): 看待。> "
結束,結,束,結束 是一種 束,0,
叉子,叉,子,叉子 是一種 子,0,
杓子,杓,子,杓子 是一種 子,0,
案底,案,底,案底 是一種 底,0,
商量,商,量,商量 是一種 量,0,
告訴,告,訴,告訴 是一種 訴,1,
它們,它,們,它們 是一種 們,0,
牠們,牠,們,牠們 是一種 們,0,
你們,你,們,你們 是一種 們,0,
依舊,依,舊,依舊 是一種 舊,0,
西區,西,區,西區 是一種 區,1,
東亞,東,亞,東亞 是一種 亞,0,
呼聲,呼,聲,呼聲 是一種 聲,1,
萬萬,萬,萬,萬萬 是一種 萬,0,
不止,不,止,不止 是一種 止,0,
各造,各,造,各造 是一種 造,0,
生疏,生,疏,生疏 是一種 疏,0,
勸告,勸,告,勸告 是一種 告,1,
撒謊,撒,謊,撒謊 是一種 謊,0,
掛勾,掛,勾,掛勾 是一種 勾,1,
點兒,點,兒,點兒 是一種 兒,0,
近乎,近,乎,近乎 是一種 乎,0,
名家,名,家,名家 是一種 家,1,
心疼,心,疼,心疼 是一種 疼,0,
咱家,咱,家,咱家 是一種 家,0,
專擅,專,擅,專擅 是一種 擅,1,
效力,效,力,效力 是一種 力,0,
致謝,致,謝,致謝 是一種 謝,0,
何等,何,等,何等 是一種 等,0,
發聲,發,聲,發聲 是一種 聲,0,
觀音,觀,音,觀音 是一種 音,0,
反感,反,感,反感 是一種 感,1,
停電,停,電,停電 是一種 電,0,
名人,名,人,名人 是一種 人,1,
空調,空,調,空調 是一種 調,0,
容忍,容,忍,容忍 是一種 忍,1,
信託,信,託,信託 是一種 託,1,
祖國,祖,國,祖國 是一種 國,1,
研判,研,判,研判 是一種 判,1,
孝順,孝,順,孝順 是一種 順,0,
詢問,詢,問,詢問 是一種 問,1,
懂得,懂,得,懂得 是一種 得,0,
不再,不,再,不再 是一種 再,0,
怎肯,怎,肯,怎肯 是一種 肯,0,
我等,我,等,我等 是一種 等,0,
傾心,傾,心,傾心 是一種 心,0,
兩造,兩,造,兩造 是一種 造,0,
半點,半,點,半點 是一種 點,0,
呈獻,呈,獻,呈獻 是一種 獻,1,
整容,整,容,整容 是一種 容,0,
意指,意,指,意指 是一種 指,1,
過癮,過,癮,過癮 是一種 癮,0,
花費,花,費,花費 是一種 費,0,
甘心,甘,心,甘心 是一種 心,0,
小鎮,小,鎮,小鎮 是一種 鎮,1,
相差,相,差,相差 是一種 差,0,
提及,提,及,提及 是一種 及,0,
好多,好,多,好多 是一種 多,1,"<CwnSense[05073701](好多): 數量大或種類多。> 
<CwnSense[03010601](多): 數量大或種類多。>"
感謝,感,謝,感謝 是一種 謝,1,"<CwnSense[05074703](感謝): 提醒語。用於表達對他人的謝意。> 
<CwnSense[06009702](謝): 提醒語。用於表達對他人的謝意。> "
自己,自,己,自己 是一種 己,0,
賤妾,賤,妾,賤妾 是一種 妾,0,
附身,附,身,附身 是一種 身,0,
謝罪,謝,罪,謝罪 是一種 罪,0,
並用,並,用,並用 是一種 用,1,
播種,播,種,播種 是一種 種,0,
禮拜,禮,拜,禮拜 是一種 拜,0,
和氣,和,氣,和氣 是一種 氣,0,
友好,友,好,友好 是一種 好,1,
定為,定,為,定為 是一種 為,0,
宮殿,宮,殿,宮殿 是一種 殿,1,
忍心,忍,心,忍心 是一種 心,0,
買進,買,進,買進 是一種 進,0,
提名,提,名,提名 是一種 名,0,
終究,終,究,終究 是一種 究,0,
抱持,抱,持,抱持 是一種 持,1,
難怪,難,怪,難怪 是一種 怪,0,
保證,保,證,保證 是一種 證,1,"<CwnSense[05098201](保證): 確認事件存在或發生的必然性。> 
<CwnSense[07042101](證): 用證據來斷定事物的真實性。> "
質疑,質,疑,質疑 是一種 疑,0,
奇怪,奇,怪,奇怪 是一種 怪,1,
不斷,不,斷,不斷 是一種 斷,0,
完全,完,全,完全 是一種 全,0,
卿家,卿,家,卿家 是一種 家,0,
我人,我,人,我人 是一種 人,0,
幾近,幾,近,幾近 是一種 近,0,
問好,問,好,問好 是一種 好,0,
授予,授,予,授予 是一種 予,1,
升任,升,任,升任 是一種 任,1,
相親,相,親,相親 是一種 親,0,
好些,好,些,好些 是一種 些,0,
附贈,附,贈,附贈 是一種 贈,1,
猛烈,猛,烈,猛烈 是一種 烈,0,
斷層,斷,層,斷層 是一種 層,0,
明瞭,明,瞭,明瞭 是一種 瞭,1,
得罪,得,罪,得罪 是一種 罪,0,
趨向,趨,向,趨向 是一種 向,0,
難忘,難,忘,難忘 是一種 忘,0,
罹患,罹,患,罹患 是一種 患,1,
慶祝,慶,祝,慶祝 是一種 祝,0,
很多,很,多,很多 是一種 多,0,
為傲,為,傲,為傲 是一種 傲,0,
致敬,致,敬,致敬 是一種 敬,0,
聽命,聽,命,聽命 是一種 命,0,
求解,求,解,求解 是一種 解,0,
讓出,讓,出,讓出 是一種 出,0,
較量,較,量,較量 是一種 量,0,
毋寧,毋,寧,毋寧 是一種 寧,0,
作夢,作,夢,作夢 是一種 夢,0,
分期,分,期,分期 是一種 期,0,
定型,定,型,定型 是一種 型,0,
潮濕,潮,濕,潮濕 是一種 濕,1,
水晶,水,晶,水晶 是一種 晶,0,
助力,助,力,助力 是一種 力,0,
入選,入,選,入選 是一種 選,0,
糾正,糾,正,糾正 是一種 正,0,
不停,不,停,不停 是一種 停,0,
不容,不,容,不容 是一種 容,0,
持有,持,有,持有 是一種 有,1,
實驗,實,驗,實驗 是一種 驗,1,
預定,預,定,預定 是一種 定,0,
家兄,家,兄,家兄 是一種 兄,1,
匹敵,匹,敵,匹敵 是一種 敵,0,
引得,引,得,引得 是一種 得,0,
寄予,寄,予,寄予 是一種 予,1,
借來,借,來,借來 是一種 來,0,
過多,過,多,過多 是一種 多,0,
少許,少,許,少許 是一種 許,0,
貶值,貶,值,貶值 是一種 值,0,
雷同,雷,同,雷同 是一種 同,1,
政見,政,見,政見 是一種 見,1,
些許,些,許,些許 是一種 許,0,
跑去,跑,去,跑去 是一種 去,0,
大半,大,半,大半 是一種 半,0,
深思,深,思,深思 是一種 思,1,
載入,載,入,載入 是一種 入,0,
抱怨,抱,怨,抱怨 是一種 怨,1,
形容,形,容,形容 是一種 容,0,
持續,持,續,持續 是一種 續,1,
家祖,家,祖,家祖 是一種 祖,0,
家姊,家,姊,家姊 是一種 姊,1,
敦聘,敦,聘,敦聘 是一種 聘,1,
辭行,辭,行,辭行 是一種 行,0,
主治,主,治,主治 是一種 治,0,
來信,來,信,來信 是一種 信,1,
武松,武,松,武松 是一種 松,0,
過敏,過,敏,過敏 是一種 敏,0,
開明,開,明,開明 是一種 明,0,
排行,排,行,排行 是一種 行,0,
奪得,奪,得,奪得 是一種 得,1,
演藝,演,藝,演藝 是一種 藝,0,
柏林,柏,林,柏林 是一種 林,0,
沙國,沙,國,沙國 是一種 國,1,
驗證,驗,證,驗證 是一種 證,1,
不法,不,法,不法 是一種 法,0,
給付,給,付,給付 是一種 付,1,
設法,設,法,設法 是一種 法,0,
估計,估,計,估計 是一種 計,0,
他們,他,們,他們 是一種 們,0,
分析,分,析,分析 是一種 析,0,
牛頓,牛,頓,牛頓 是一種 頓,0,
作主,作,主,作主 是一種 主,0,
大家,大,家,大家 是一種 家,0,
煞到,煞,到,煞到 是一種 到,0,
推辭,推,辭,推辭 是一種 辭,1,
和約,和,約,和約 是一種 約,1,
機組,機,組,機組 是一種 組,0,
故事,故,事,故事 是一種 事,0,
預計,預,計,預計 是一種 計,0,
缺少,缺,少,缺少 是一種 少,1,
判斷,判,斷,判斷 是一種 斷,0,
凌晨,凌,晨,凌晨 是一種 晨,0,
割禮,割,禮,割禮 是一種 禮,1,
感染,感,染,感染 是一種 染,1,
搖擺,搖,擺,搖擺 是一種 擺,1,
意識,意,識,意識 是一種 識,1,
房子,房,子,房子 是一種 子,0,
不忠,不,忠,不忠 是一種 忠,0,
脖子,脖,子,脖子 是一種 子,0,
羽毛,羽,毛,羽毛 是一種 毛,1,
子女,子,女,子女 是一種 女,0,
那裏,那,裏,那裏 是一種 裏,0,
名字,名,字,名字 是一種 字,0,
父親,父,親,父親 是一種 親,0,
開動,開,動,開動 是一種 動,1,
觀音,觀,音,觀音 是一種 音,0,
膝蓋,膝,蓋,膝蓋 是一種 蓋,0,
水水,水,水,水水 是一種 水,0,
酒令,酒,令,酒令 是一種 令,1,"<CwnSense[06041301](酒令): 喝酒時一種助興的遊戲。> 
<CwnSense[06041105](令): 喝酒時一種助興的遊戲。>"
木蘭,木,蘭,木蘭 是一種 蘭,1,
肚子,肚,子,肚子 是一種 子,0,
科技,科,技,科技 是一種 技,0,
夏娃,夏,娃,夏娃 是一種 娃,0,
答應,答,應,答應 是一種 應,1,
軍事,軍,事,軍事 是一種 事,0,
謝謝,謝,謝,謝謝 是一種 謝,0,
結構,結,構,結構 是一種 構,0,
原因,原,因,原因 是一種 因,1,
生命,生,命,生命 是一種 命,1,
企業,企,業,企業 是一種 業,0,
爭光,爭,光,爭光 是一種 光,0,
結巴,結,巴,結巴 是一種 巴,0,
電動,電,動,電動 是一種 動,1,
不到,不,到,不到 是一種 到,0,
傑出,傑,出,傑出 是一種 出,0,
階級,階,級,階級 是一種 級,1,
人口,人,口,人口 是一種 口,0,
編組,編,組,編組 是一種 組,1,
建檔,建,檔,建檔 是一種 檔,0,
伸手,伸,手,伸手 是一種 手,0,
大專,大,專,大專 是一種 專,0,
身邊,身,邊,身邊 是一種 邊,0,
層面,層,面,層面 是一種 面,1,
份子,份,子,份子 是一種 子,0,
車子,車,子,車子 是一種 子,0,
女生,女,生,女生 是一種 生,0,
大衛,大,衛,大衛 是一種 衛,0,
商品,商,品,商品 是一種 品,1,
工人,工,人,工人 是一種 人,1,
院士,院,士,院士 是一種 士,0,
食物,食,物,食物 是一種 物,1,
調整,調,整,調整 是一種 整,0,
時期,時,期,時期 是一種 期,0,
充滿,充,滿,充滿 是一種 滿,0,
資產,資,產,資產 是一種 產,0,
基金,基,金,基金 是一種 金,0,
個性,個,性,個性 是一種 性,0,
前面,前,面,前面 是一種 面,0,
汽車,汽,車,汽車 是一種 車,1,
答案,答,案,答案 是一種 案,0,
人力,人,力,人力 是一種 力,0,
博士,博,士,博士 是一種 士,1,
小時,小,時,小時 是一種 時,0,
爸爸,爸,爸,爸爸 是一種 爸,0,
能力,能,力,能力 是一種 力,0,
人員,人,員,人員 是一種 員,1,
求援,求,援,求援 是一種 援,1,
頒獎,頒,獎,頒獎 是一種 獎,0,
延期,延,期,延期 是一種 期,0,
相較,相,較,相較 是一種 較,1,
戶外,戶,外,戶外 是一種 外,0,
分級,分,級,分級 是一種 級,0,
溫暖,溫,暖,溫暖 是一種 暖,0,
睡覺,睡,覺,睡覺 是一種 覺,0,
好奇,好,奇,好奇 是一種 奇,0,
優點,優,點,優點 是一種 點,0,
矛盾,矛,盾,矛盾 是一種 盾,0,
航空,航,空,航空 是一種 空,0,
編目,編,目,編目 是一種 目,0,
領先,領,先,領先 是一種 先,0,
眾多,眾,多,眾多 是一種 多,0,
哲學,哲,學,哲學 是一種 學,0,
解釋,解,釋,解釋 是一種 釋,1,
相同,相,同,相同 是一種 同,1,
自由,自,由,自由 是一種 由,0,
擔任,擔,任,擔任 是一種 任,1,
主義,主,義,主義 是一種 義,0,
獲得,獲,得,獲得 是一種 得,1,
發生,發,生,發生 是一種 生,0,
大學,大,學,大學 是一種 學,0,
美容,美,容,美容 是一種 容,0,
寫信,寫,信,寫信 是一種 信,0,
分組,分,組,分組 是一種 組,0,
車站,車,站,車站 是一種 站,1,
犯罪,犯,罪,犯罪 是一種 罪,0,
升級,升,級,升級 是一種 級,0,
新光,新,光,新光 是一種 光,0,
手法,手,法,手法 是一種 法,0,
累積,累,積,累積 是一種 積,1,
大人,大,人,大人 是一種 人,1,
辛苦,辛,苦,辛苦 是一種 苦,0,
可愛,可,愛,可愛 是一種 愛,0,
家人,家,人,家人 是一種 人,1,
妥協,妥,協,妥協 是一種 協,0,
維護,維,護,維護 是一種 護,1,
畢業,畢,業,畢業 是一種 業,0,
豐富,豐,富,豐富 是一種 富,0,
特色,特,色,特色 是一種 色,0,
效果,效,果,效果 是一種 果,0,
目標,目,標,目標 是一種 標,0,
東西,東,西,東西 是一種 西,0,
電腦,電,腦,電腦 是一種 腦,0,
拜年,拜,年,拜年 是一種 年,0,
移動,移,動,移動 是一種 動,1,
彩色,彩,色,彩色 是一種 色,0,
師大,師,大,師大 是一種 大,0,
天氣,天,氣,天氣 是一種 氣,0,
客人,客,人,客人 是一種 人,1,
供應,供,應,供應 是一種 應,0,
主人,主,人,主人 是一種 人,0,
不良,不,良,不良 是一種 良,0,
動詞,動,詞,動詞 是一種 詞,1,
檔案,檔,案,檔案 是一種 案,0,
觀點,觀,點,觀點 是一種 點,0,
瞭解,瞭,解,瞭解 是一種 解,1,
工業,工,業,工業 是一種 業,0,
專家,專,家,專家 是一種 家,0,
實際,實,際,實際 是一種 際,0,
時代,時,代,時代 是一種 代,0,
離別,離,別,離別 是一種 別,1,
減刑,減,刑,減刑 是一種 刑,0,
急救,急,救,急救 是一種 救,1,
過年,過,年,過年 是一種 年,0,
旅館,旅,館,旅館 是一種 館,1,
不行,不,行,不行 是一種 行,0,
夫妻,夫,妻,夫妻 是一種 妻,0,
球員,球,員,球員 是一種 員,1,
收入,收,入,收入 是一種 入,0,
生氣,生,氣,生氣 是一種 氣,0,
特質,特,質,特質 是一種 質,1,
作者,作,者,作者 是一種 者,0,
會員,會,員,會員 是一種 員,1,
最佳,最,佳,最佳 是一種 佳,0,
動作,動,作,動作 是一種 作,0,
銀行,銀,行,銀行 是一種 行,0,
工作,工,作,工作 是一種 作,0,
意義,意,義,意義 是一種 義,0,
品質,品,質,品質 是一種 質,1,
提出,提,出,提出 是一種 出,0,
再見,再,見,再見 是一種 見,0,
開口,開,口,開口 是一種 口,0,
資深,資,深,資深 是一種 深,0,
爺爺,爺,爺,爺爺 是一種 爺,0,
感動,感,動,感動 是一種 動,1,
癌症,癌,症,癌症 是一種 症,0,
做法,做,法,做法 是一種 法,0,
休息,休,息,休息 是一種 息,1,
物質,物,質,物質 是一種 質,1,
進口,進,口,進口 是一種 口,0,
稱為,稱,為,稱為 是一種 為,0,
生物,生,物,生物 是一種 物,1,
亞洲,亞,洲,亞洲 是一種 洲,1,
不錯,不,錯,不錯 是一種 錯,0,
缺乏,缺,乏,缺乏 是一種 乏,1,
價值,價,值,價值 是一種 值,0,
女性,女,性,女性 是一種 性,0,
國內,國,內,國內 是一種 內,0,
致意,致,意,致意 是一種 意,0,
感恩,感,恩,感恩 是一種 恩,0,
行動,行,動,行動 是一種 動,1,
走路,走,路,走路 是一種 路,0,
進去,進,去,進去 是一種 去,0,
保障,保,障,保障 是一種 障,0,
那邊,那,邊,那邊 是一種 邊,0,
愉快,愉,快,愉快 是一種 快,0,
旅行,旅,行,旅行 是一種 行,0,
衛生,衛,生,衛生 是一種 生,0,
仔細,仔,細,仔細 是一種 細,0,
特性,特,性,特性 是一種 性,0,
觀光,觀,光,觀光 是一種 光,0,
那裡,那,裡,那裡 是一種 裡,0,
同意,同,意,同意 是一種 意,0,
兒子,兒,子,兒子 是一種 子,0,
程式,程,式,程式 是一種 式,0,
領袖,領,袖,領袖 是一種 袖,0,
民眾,民,眾,民眾 是一種 眾,0,
網路,網,路,網路 是一種 路,0,
從業,從,業,從業 是一種 業,0,
動員,動,員,動員 是一種 員,0,
唱歌,唱,歌,唱歌 是一種 歌,0,
吸食,吸,食,吸食 是一種 食,1,
財產,財,產,財產 是一種 產,0,
適應,適,應,適應 是一種 應,1,
同仁,同,仁,同仁 是一種 仁,0,
特徵,特,徵,特徵 是一種 徵,0,
快速,快,速,快速 是一種 速,0,
面臨,面,臨,面臨 是一種 臨,1,
角色,角,色,角色 是一種 色,0,
影響,影,響,影響 是一種 響,0,
麥克,麥,克,麥克 是一種 克,0,
晉級,晉,級,晉級 是一種 級,0,
原始,原,始,原始 是一種 始,0,
面前,面,前,面前 是一種 前,0,
實力,實,力,實力 是一種 力,0,
分為,分,為,分為 是一種 為,0,
模式,模,式,模式 是一種 式,0,
人才,人,才,人才 是一種 才,0,
工程,工,程,工程 是一種 程,0,
進行,進,行,進行 是一種 行,0,
開刀,開,刀,開刀 是一種 刀,0,
相反,相,反,相反 是一種 反,0,
行業,行,業,行業 是一種 業,0,
大會,大,會,大會 是一種 會,1,
正常,正,常,正常 是一種 常,0,
超過,超,過,超過 是一種 過,0,
