lemma,c1,c2,statement,response,參考cwn sense def.,
補助,補,助,補助 是一種 助,1,,
前後,前,後,前後 是一種 後,0,1,
聲稱,聲,稱,聲稱 是一種 稱,1,,
決定,決,定,決定 是一種 定,1,,
本人,本,人,本人 是一種 人,1,,
個人,個,人,個人 是一種 人,1,,
照舊,照,舊,照舊 是一種 舊,0,,
連接,連,接,連接 是一種 接,1,,
西南,西,南,西南 是一種 南,0,,
少爺,少,爺,少爺 是一種 爺,1,,
妹妹,妹,妹,妹妹 是一種 妹,1,,
提前,提,前,提前 是一種 前,0,,
化妝,化,妝,化妝 是一種 妝,1,1,
敝人,敝,人,敝人 是一種 人,1,,
補妝,補,妝,補妝 是一種 妝,1,,
惡補,惡,補,惡補 是一種 補,1,,
趕路,趕,路,趕路 是一種 路,0,,
學佛,學,佛,學佛 是一種 佛,0,,
夏娃,夏,娃,夏娃 是一種 娃,0,,
樸實,樸,實,樸實 是一種 實,1,,
盒子,盒,子,盒子 是一種 子,0,,
尖峰,尖,峰,尖峰 是一種 峰,1,,
先父,先,父,先父 是一種 父,1,,
聽任,聽,任,聽任 是一種 任,1,,
裝箱,裝,箱,裝箱 是一種 箱,0,,
周旋,周,旋,周旋 是一種 旋,1,,
頒給,頒,給,頒給 是一種 給,1,,
泰雅,泰,雅,泰雅 是一種 雅,0,,
為生,為,生,為生 是一種 生,0,,
有志,有,志,有志 是一種 志,0,1,
敬業,敬,業,敬業 是一種 業,0,,
面目,面,目,面目 是一種 目,0,,
聖火,聖,火,聖火 是一種 火,1,,
應徵,應,徵,應徵 是一種 徵,0,,
蘭嶼,蘭,嶼,蘭嶼 是一種 嶼,1,,
存有,存,有,存有 是一種 有,1,,
出自,出,自,出自 是一種 自,1,1,
不顧,不,顧,不顧 是一種 顧,0,,*
千萬,千,萬,千萬 是一種 萬,1,,*
滿意,滿,意,滿意 是一種 意,0,1,*
一定,一,定,一定 是一種 定,1,,
賤內,賤,內,賤內 是一種 內,1,,
失信,失,信,失信 是一種 信,0,,*
解嘲,解,嘲,解嘲 是一種 嘲,1,,*
買給,買,給,買給 是一種 給,1,,*
做主,做,主,做主 是一種 主,0,,
相會,相,會,相會 是一種 會,1,,
較多,較,多,較多 是一種 多,1,1,*
任憑,任,憑,任憑 是一種 憑,1,1,*
少量,少,量,少量 是一種 量,1,,
歸功,歸,功,歸功 是一種 功,0,,
跨越,跨,越,跨越 是一種 越,1,,
電廠,電,廠,電廠 是一種 廠,1,,
思索,思,索,思索 是一種 索,1,,
警告,警,告,警告 是一種 告,0,,
檢討,檢,討,檢討 是一種 討,1,,
呼籲,呼,籲,呼籲 是一種 籲,1,,
我輩,我,輩,我輩 是一種 輩,1,,
汝等,汝,等,汝等 是一種 等,1,,
頂嘴,頂,嘴,頂嘴 是一種 嘴,0,,
甘願,甘,願,甘願 是一種 願,1,,
讓給,讓,給,讓給 是一種 給,1,,
志願,志,願,志願 是一種 願,1,,
張良,張,良,張良 是一種 良,0,,
發亮,發,亮,發亮 是一種 亮,1,,
典雅,典,雅,典雅 是一種 雅,1,,
既是,既,是,既是 是一種 是,1,,
點子,點,子,點子 是一種 子,0,,
為首,為,首,為首 是一種 首,1,,
驚奇,驚,奇,驚奇 是一種 奇,1,,
稍後,稍,後,稍後 是一種 後,1,,
鄰近,鄰,近,鄰近 是一種 近,1,,
賦予,賦,予,賦予 是一種 予,1,,
甚麼,甚,麼,甚麼 是一種 麼,0,,
指示,指,示,指示 是一種 示,1,,
查詢,查,詢,查詢 是一種 詢,1,,
小心,小,心,小心 是一種 心,0,,
十分,十,分,十分 是一種 分,1,,
內子,內,子,內子 是一種 子,1,,
乃父,乃,父,乃父 是一種 父,1,,
家父,家,父,家父 是一種 父,1,,
毀容,毀,容,毀容 是一種 容,0,,
禮聘,禮,聘,禮聘 是一種 聘,1,,
浸泡,浸,泡,浸泡 是一種 泡,1,,
奉為,奉,為,奉為 是一種 為,0,,
散去,散,去,散去 是一種 去,0,,
送出,送,出,送出 是一種 出,0,,
康德,康,德,康德 是一種 德,0,,
好似,好,似,好似 是一種 似,1,,
漢子,漢,子,漢子 是一種 子,0,,
期許,期,許,期許 是一種 許,1,,
慈善,慈,善,慈善 是一種 善,1,,
不及,不,及,不及 是一種 及,0,,*
替代,替,代,替代 是一種 代,1,,
排名,排,名,排名 是一種 名,0,,
預防,預,防,預防 是一種 防,1,,
據報,據,報,據報 是一種 報,1,,
己身,己,身,己身 是一種 身,1,,
照抄,照,抄,照抄 是一種 抄,1,,
慣常,慣,常,慣常 是一種 常,1,,
藉助,藉,助,藉助 是一種 助,1,,
賜給,賜,給,賜給 是一種 給,1,,
施暴,施,暴,施暴 是一種 暴,0,,
施肥,施,肥,施肥 是一種 肥,0,,
進香,進,香,進香 是一種 香,0,,
無心,無,心,無心 是一種 心,1,,
降為,降,為,降為 是一種 為,0,,
為宜,為,宜,為宜 是一種 宜,1,,
祖父,祖,父,祖父 是一種 父,1,,
婦運,婦,運,婦運 是一種 運,1,,
離島,離,島,離島 是一種 島,1,,
渡過,渡,過,渡過 是一種 過,0,,
但願,但,願,但願 是一種 願,1,,
容許,容,許,容許 是一種 許,1,,
善用,善,用,善用 是一種 用,1,,
難過,難,過,難過 是一種 過,1,,
令妹,令,妹,令妹 是一種 妹,1,,
大多,大,多,大多 是一種 多,1,,
借宿,借,宿,借宿 是一種 宿,1,,
惹得,惹,得,惹得 是一種 得,0,,
記過,記,過,記過 是一種 過,0,,
可資,可,資,可資 是一種 資,1,,
勉強,勉,強,勉強 是一種 強,1,,
越戰,越,戰,越戰 是一種 戰,1,,
蔚為,蔚,為,蔚為 是一種 為,1,,
火力,火,力,火力 是一種 力,1,,
拖延,拖,延,拖延 是一種 延,1,,
為由,為,由,為由 是一種 由,1,,
急性,急,性,急性 是一種 性,1,,
擔憂,擔,憂,擔憂 是一種 憂,1,,
計有,計,有,計有 是一種 有,1,,
用水,用,水,用水 是一種 水,0,,
防止,防,止,防止 是一種 止,1,,
促進,促,進,促進 是一種 進,1,,
許多,許,多,許多 是一種 多,1,,
精專,精,專,精專 是一種 專,1,,
自甘,自,甘,自甘 是一種 甘,1,,
焉能,焉,能,焉能 是一種 能,1,,
告狀,告,狀,告狀 是一種 狀,1,1,
捐助,捐,助,捐助 是一種 助,1,,
口角,口,角,口角 是一種 角,0,,
塞尚,塞,尚,塞尚 是一種 尚,0,,
空洞,空,洞,空洞 是一種 洞,0,,
稱作,稱,作,稱作 是一種 作,1,,
標示,標,示,標示 是一種 示,1,,
進攻,進,攻,進攻 是一種 攻,1,,
河南,河,南,河南 是一種 南,1,,
急速,急,速,急速 是一種 速,0,,
計較,計,較,計較 是一種 較,1,,
判決,判,決,判決 是一種 決,1,,
信賴,信,賴,信賴 是一種 賴,1,,
任意,任,意,任意 是一種 意,0,,
確保,確,保,確保 是一種 保,1,,
不滿,不,滿,不滿 是一種 滿,0,,*
大駕,大,駕,大駕 是一種 駕,1,,
扶正,扶,正,扶正 是一種 正,0,,
力圖,力,圖,力圖 是一種 圖,1,,
覺得,覺,得,覺得 是一種 得,0,,
大家,大,家,大家 是一種 家,0,,
報價,報,價,報價 是一種 價,0,,
協定,協,定,協定 是一種 定,1,,
協同,協,同,協同 是一種 同,1,,
維生,維,生,維生 是一種 生,0,,
嘴脣,嘴,脣,嘴脣 是一種 脣,1,,
預報,預,報,預報 是一種 報,1,,
推斷,推,斷,推斷 是一種 斷,1,,
猜測,猜,測,猜測 是一種 測,1,,
攪得,攪,得,攪得 是一種 得,0,,
保羅,保,羅,保羅 是一種 羅,0,,
多多,多,多,多多 是一種 多,1,,
陶醉,陶,醉,陶醉 是一種 醉,1,,
許可,許,可,許可 是一種 可,1,,
陽線,陽,線,陽線 是一種 線,1,,
意即,意,即,意即 是一種 即,1,,
什麼,什,麼,什麼 是一種 麼,0,,
水果,水,果,水果 是一種 果,1,,
動物,動,物,動物 是一種 物,1,,
丈夫,丈,夫,丈夫 是一種 夫,1,,
樹皮,樹,皮,樹皮 是一種 皮,1,,
效力,效,力,效力 是一種 力,1,,
那裏,那,裏,那裏 是一種 裏,1,,
眼銳,眼,銳,眼銳 是一種 銳,1,,
感到,感,到,感到 是一種 到,0,,
好生,好,生,好生 是一種 生,0,,
引得,引,得,引得 是一種 得,0,,
肚子,肚,子,肚子 是一種 子,0,,
政治,政,治,政治 是一種 治,1,,
外交,外,交,外交 是一種 交,1,,
江蘇,江,蘇,江蘇 是一種 蘇,0,,
社會,社,會,社會 是一種 會,1,1,
民事,民,事,民事 是一種 事,1,,
機構,機,構,機構 是一種 構,1,1,
產業,產,業,產業 是一種 業,1,,
我國,我,國,我國 是一種 國,1,,
機會,機,會,機會 是一種 會,0,,
孩子,孩,子,孩子 是一種 子,0,,
告辭,告,辭,告辭 是一種 辭,1,,
曹操,曹,操,曹操 是一種 操,0,,
優惠,優,惠,優惠 是一種 惠,1,,
臨床,臨,床,臨床 是一種 床,1,,
南非,南,非,南非 是一種 非,1,,
邊政,邊,政,邊政 是一種 政,1,1,
民主,民,主,民主 是一種 主,1,,
禪宗,禪,宗,禪宗 是一種 宗,1,,
定案,定,案,定案 是一種 案,1,,
亞運,亞,運,亞運 是一種 運,1,,
適用,適,用,適用 是一種 用,1,,
人事,人,事,人事 是一種 事,1,,
華人,華,人,華人 是一種 人,1,,
共識,共,識,共識 是一種 識,1,,
人性,人,性,人性 是一種 性,1,,
障礙,障,礙,障礙 是一種 礙,1,,
東德,東,德,東德 是一種 德,1,,
政大,政,大,政大 是一種 大,1,,
學期,學,期,學期 是一種 期,1,,
法國,法,國,法國 是一種 國,1,,
費用,費,用,費用 是一種 用,1,,
用戶,用,戶,用戶 是一種 戶,1,,
美麗,美,麗,美麗 是一種 麗,1,,
觀察,觀,察,觀察 是一種 察,1,,
命運,命,運,命運 是一種 運,1,,
詞典,詞,典,詞典 是一種 典,1,,
走到,走,到,走到 是一種 到,0,,
小學,小,學,小學 是一種 學,1,,
提到,提,到,提到 是一種 到,0,,
來源,來,源,來源 是一種 源,1,,
唯一,唯,一,唯一 是一種 一,0,,
力量,力,量,力量 是一種 量,1,,
附近,附,近,附近 是一種 近,1,,
資源,資,源,資源 是一種 源,1,,
藝術,藝,術,藝術 是一種 術,1,,
發展,發,展,發展 是一種 展,1,,
某某,某,某,某某 是一種 某,1,,
連戰,連,戰,連戰 是一種 戰,0,,
唸書,唸,書,唸書 是一種 書,1,,
停留,停,留,停留 是一種 留,1,,
完工,完,工,完工 是一種 工,1,,
贏得,贏,得,贏得 是一種 得,0,,
業界,業,界,業界 是一種 界,1,,
爆發,爆,發,爆發 是一種 發,1,,
設定,設,定,設定 是一種 定,1,,
差距,差,距,差距 是一種 距,1,,
衝擊,衝,擊,衝擊 是一種 擊,1,,
年紀,年,紀,年紀 是一種 紀,0,,
念書,念,書,念書 是一種 書,0,,
宜蘭,宜,蘭,宜蘭 是一種 蘭,0,,
故宮,故,宮,故宮 是一種 宮,1,,
遇到,遇,到,遇到 是一種 到,0,,
堅持,堅,持,堅持 是一種 持,1,,
創造,創,造,創造 是一種 造,1,,
歐洲,歐,洲,歐洲 是一種 洲,1,,
有效,有,效,有效 是一種 效,1,,
設計,設,計,設計 是一種 計,1,,
選擇,選,擇,選擇 是一種 擇,1,,
一樣,一,樣,一樣 是一種 樣,1,,
求婚,求,婚,求婚 是一種 婚,1,,
注目,注,目,注目 是一種 目,1,,
自治,自,治,自治 是一種 治,1,,
東吳,東,吳,東吳 是一種 吳,0,,
遊行,遊,行,遊行 是一種 行,1,,
隨便,隨,便,隨便 是一種 便,1,,
獨特,獨,特,獨特 是一種 特,1,,
國會,國,會,國會 是一種 會,1,,
縣府,縣,府,縣府 是一種 府,1,,
保留,保,留,保留 是一種 留,1,,
污染,污,染,污染 是一種 染,1,,
面積,面,積,面積 是一種 積,1,,
哪裡,哪,裡,哪裡 是一種 裡,1,,
強烈,強,烈,強烈 是一種 烈,1,,
錯過,錯,過,錯過 是一種 過,0,,
困難,困,難,困難 是一種 難,1,,
離開,離,開,離開 是一種 開,0,,
找到,找,到,找到 是一種 到,0,,
因素,因,素,因素 是一種 素,1,,
人生,人,生,人生 是一種 生,1,,
作品,作,品,作品 是一種 品,1,,
歷史,歷,史,歷史 是一種 史,1,,
學校,學,校,學校 是一種 校,1,,
開戰,開,戰,開戰 是一種 戰,1,,
出門,出,門,出門 是一種 門,1,,
大聲,大,聲,大聲 是一種 聲,1,,
客觀,客,觀,客觀 是一種 觀,1,,
金額,金,額,金額 是一種 額,1,,
結論,結,論,結論 是一種 論,1,,
陽光,陽,光,陽光 是一種 光,1,,
展示,展,示,展示 是一種 示,1,,
空氣,空,氣,空氣 是一種 氣,1,,
協調,協,調,協調 是一種 調,1,,
主辦,主,辦,主辦 是一種 辦,1,,
可能,可,能,可能 是一種 能,0,,
類似,類,似,類似 是一種 似,1,,
主任,主,任,主任 是一種 任,1,,
小組,小,組,小組 是一種 組,1,,
進入,進,入,進入 是一種 入,0,,*
先生,先,生,先生 是一種 生,1,,
訴苦,訴,苦,訴苦 是一種 苦,0,,*
適之,適,之,適之 是一種 之,0,,
延續,延,續,延續 是一種 續,1,,
設有,設,有,設有 是一種 有,1,,
描述,描,述,描述 是一種 述,1,,
創作,創,作,創作 是一種 作,1,,
主角,主,角,主角 是一種 角,1,,
奧會,奧,會,奧會 是一種 會,1,,
便宜,便,宜,便宜 是一種 宜,0,,
生意,生,意,生意 是一種 意,0,,
大小,大,小,大小 是一種 小,0,,
明確,明,確,明確 是一種 確,1,,
胡適,胡,適,胡適 是一種 適,0,,
充分,充,分,充分 是一種 分,0,,
設施,設,施,設施 是一種 施,1,,
業務,業,務,業務 是一種 務,1,,
狀況,狀,況,狀況 是一種 況,1,,
相信,相,信,相信 是一種 信,1,,
內容,內,容,內容 是一種 容,1,,
不同,不,同,不同 是一種 同,0,,*
遵守,遵,守,遵守 是一種 守,1,,
花園,花,園,花園 是一種 園,1,,
常見,常,見,常見 是一種 見,1,,
過去,過,去,過去 是一種 去,1,,*
名稱,名,稱,名稱 是一種 稱,1,,
旁邊,旁,邊,旁邊 是一種 邊,1,,
十分,十,分,十分 是一種 分,1,,
年齡,年,齡,年齡 是一種 齡,1,,
人人,人,人,人人 是一種 人,1,,
一生,一,生,一生 是一種 生,1,,
提升,提,升,提升 是一種 升,1,,
吸引,吸,引,吸引 是一種 引,1,,
可惜,可,惜,可惜 是一種 惜,1,,
小姐,小,姐,小姐 是一種 姐,1,,
推出,推,出,推出 是一種 出,0,,
需求,需,求,需求 是一種 求,0,,
解決,解,決,解決 是一種 決,0,,
環境,環,境,環境 是一種 境,1,,
訂婚,訂,婚,訂婚 是一種 婚,1,,*
動工,動,工,動工 是一種 工,0,,*
珍惜,珍,惜,珍惜 是一種 惜,1,,
僅有,僅,有,僅有 是一種 有,1,,
花蓮,花,蓮,花蓮 是一種 蓮,0,,
華航,華,航,華航 是一種 航,1,,
有名,有,名,有名 是一種 名,0,,
藥物,藥,物,藥物 是一種 物,1,,
事務,事,務,事務 是一種 務,1,,
主持,主,持,主持 是一種 持,1,,
哥哥,哥,哥,哥哥 是一種 哥,1,,
出去,出,去,出去 是一種 去,1,,
樣子,樣,子,樣子 是一種 子,0,,
女兒,女,兒,女兒 是一種 兒,1,,
廣告,廣,告,廣告 是一種 告,1,,
官員,官,員,官員 是一種 員,0,,
裡面,裡,面,裡面 是一種 面,0,,
行為,行,為,行為 是一種 為,1,,
單位,單,位,單位 是一種 位,0,,
政府,政,府,政府 是一種 府,1,,
孟子,孟,子,孟子 是一種 子,0,,
有線,有,線,有線 是一種 線,1,,
基層,基,層,基層 是一種 層,1,,
巴西,巴,西,巴西 是一種 西,0,,
優勢,優,勢,優勢 是一種 勢,1,,
女子,女,子,女子 是一種 子,0,,
緊張,緊,張,緊張 是一種 張,1,,
國民,國,民,國民 是一種 民,1,,
互相,互,相,互相 是一種 相,1,,
國外,國,外,國外 是一種 外,1,,
電視,電,視,電視 是一種 視,0,,
美國,美,國,美國 是一種 國,1,,
錄音,錄,音,錄音 是一種 音,1,,
紀念,紀,念,紀念 是一種 念,1,,
找出,找,出,找出 是一種 出,0,,
好處,好,處,好處 是一種 處,1,,
如何,如,何,如何 是一種 何,1,,
族群,族,群,族群 是一種 群,1,,
檢查,檢,查,檢查 是一種 查,1,,
責任,責,任,責任 是一種 任,1,,
人類,人,類,人類 是一種 類,0,,
訂貨,訂,貨,訂貨 是一種 貨,1,,
運動,運,動,運動 是一種 動,1,,
單純,單,純,單純 是一種 純,1,,
深入,深,入,深入 是一種 入,0,,
大樓,大,樓,大樓 是一種 樓,1,,
擔心,擔,心,擔心 是一種 心,0,,
減少,減,少,減少 是一種 少,1,,
意見,意,見,意見 是一種 見,1,,
吳鳳,吳,鳳,吳鳳 是一種 鳳,0,,
作戰,作,戰,作戰 是一種 戰,1,,
倫敦,倫,敦,倫敦 是一種 敦,0,,
同事,同,事,同事 是一種 事,1,,
基本,基,本,基本 是一種 本,1,,
完整,完,整,完整 是一種 整,1,,
人們,人,們,人們 是一種 們,1,,
姊姊,姊,姊,姊姊 是一種 姊,1,,
陽光,陽,光,陽光 是一種 光,1,,
停機,停,機,停機 是一種 機,0,,
陽明,陽,明,陽明 是一種 明,0,,
那裡,那,裡,那裡 是一種 裡,1,,
東吳,東,吳,東吳 是一種 吳,0,,
同時,同,時,同時 是一種 時,1,,
昨天,昨,天,昨天 是一種 天,1,,
建築,建,築,建築 是一種 築,1,,
得到,得,到,得到 是一種 到,0,,
生氣,生,氣,生氣 是一種 氣,1,,
那兒,那,兒,那兒 是一種 兒,0,,
棄置,棄,置,棄置 是一種 置,1,,
相比,相,比,相比 是一種 比,1,,
亦即,亦,即,亦即 是一種 即,1,,
年代,年,代,年代 是一種 代,1,,
增溫,增,溫,增溫 是一種 溫,0,,
近代,近,代,近代 是一種 代,1,,
後代,後,代,後代 是一種 代,1,,
藻類,藻,類,藻類 是一種 類,1,,
冬季,冬,季,冬季 是一種 季,0,,
纏住,纏,住,纏住 是一種 住,0,,
劇毒,劇,毒,劇毒 是一種 毒,1,,
貨物,貨,物,貨物 是一種 物,1,,
資本,資,本,資本 是一種 本,1,,
春季,春,季,春季 是一種 季,1,,
毒物,毒,物,毒物 是一種 物,1,,
致命,致,命,致命 是一種 命,0,,
參見,參,見,參見 是一種 見,1,,
摸索,摸,索,摸索 是一種 索,1,,
開花,開,花,開花 是一種 花,0,,
溶化,溶,化,溶化 是一種 化,1,,
積累,積,累,積累 是一種 累,1,,
氣溫,氣,溫,氣溫 是一種 溫,1,,
