lemma,c1,c2,statement,response
之交,之,交,之交 是一種 交,0
之秋,之,秋,之秋 是一種 秋,0
專門,專,門,專門 是一種 門,0
自我,自,我,自我 是一種 我,0
處處,處,處,處處 是一種 處,0
有否,有,否,有否 是一種 否,0
有無,有,無,有無 是一種 無,0
臨近,臨,近,臨近 是一種 近,1
憑藉,憑,藉,憑藉 是一種 藉,0
先決,先,決,先決 是一種 決,0
隔音,隔,音,隔音 是一種 音,0
險遭,險,遭,險遭 是一種 遭,0
便是,便,是,便是 是一種 是,0
剛好,剛,好,剛好 是一種 好,0
最多,最,多,最多 是一種 多,0
不可,不,可,不可 是一種 可,0
很少,很,少,很少 是一種 少,1
過份,過,份,過份 是一種 份,0
不盡,不,盡,不盡 是一種 盡,0
不已,不,已,不已 是一種 已,0
不便,不,便,不便 是一種 便,0
生計,生,計,生計 是一種 計,0
勇士,勇,士,勇士 是一種 士,0
約會,約,會,約會 是一種 會,0
國界,國,界,國界 是一種 界,1
嘴唇,嘴,唇,嘴唇 是一種 唇,0
機組,機,組,機組 是一種 組,0
續集,續,集,續集 是一種 集,0
用處,用,處,用處 是一種 處,0
刑事,刑,事,刑事 是一種 事,0
花兒,花,兒,花兒 是一種 兒,0
國寶,國,寶,國寶 是一種 寶,0
溪水,溪,水,溪水 是一種 水,1
鋼筋,鋼,筋,鋼筋 是一種 筋,0
林肯,林,肯,林肯 是一種 肯,0
禮品,禮,品,禮品 是一種 品,0
劉備,劉,備,劉備 是一種 備,0
巴哈,巴,哈,巴哈 是一種 哈,0
東區,東,區,東區 是一種 區,1
淡大,淡,大,淡大 是一種 大,0
外科,外,科,外科 是一種 科,1
不少,不,少,不少 是一種 少,1
開始,開,始,開始 是一種 始,0
何者,何,者,何者 是一種 者,0
筆者,筆,者,筆者 是一種 者,0
彼此,彼,此,彼此 是一種 此,0
吾人,吾,人,吾人 是一種 人,1
湧出,湧,出,湧出 是一種 出,0
擇期,擇,期,擇期 是一種 期,0
並行,並,行,並行 是一種 行,0
搖晃,搖,晃,搖晃 是一種 晃,0
露面,露,面,露面 是一種 面,0
減半,減,半,減半 是一種 半,0
行禮,行,禮,行禮 是一種 禮,0
送行,送,行,送行 是一種 行,0
施虐,施,虐,施虐 是一種 虐,0
隆乳,隆,乳,隆乳 是一種 乳,0
濃縮,濃,縮,濃縮 是一種 縮,0
訂房,訂,房,訂房 是一種 房,0
分擔,分,擔,分擔 是一種 擔,0
乘坐,乘,坐,乘坐 是一種 坐,0
補貼,補,貼,補貼 是一種 貼,0
寫給,寫,給,寫給 是一種 給,0
寄給,寄,給,寄給 是一種 給,0
送來,送,來,送來 是一種 來,0
留給,留,給,留給 是一種 給,0
分辨,分,辨,分辨 是一種 辨,0
申訴,申,訴,申訴 是一種 訴,0
賣給,賣,給,賣給 是一種 給,0
研討,研,討,研討 是一種 討,0
核准,核,准,核准 是一種 准,0
證實,證,實,證實 是一種 實,0
協商,協,商,協商 是一種 商,0
預估,預,估,預估 是一種 估,0
指引,指,引,指引 是一種 引,0
代為,代,為,代為 是一種 為,0
決心,決,心,決心 是一種 心,0
試圖,試,圖,試圖 是一種 圖,0
接任,接,任,接任 是一種 任,0
俗稱,俗,稱,俗稱 是一種 稱,1
竟是,竟,是,竟是 是一種 是,0
可疑,可,疑,可疑 是一種 疑,0
相等,相,等,相等 是一種 等,0
新生,新,生,新生 是一種 生,0
交替,交,替,交替 是一種 替,0
堅硬,堅,硬,堅硬 是一種 硬,0
親生,親,生,親生 是一種 生,0
動心,動,心,動心 是一種 心,0
歷時,歷,時,歷時 是一種 時,0
累計,累,計,累計 是一種 計,0
降到,降,到,降到 是一種 到,0
源自,源,自,源自 是一種 自,0
反射,反,射,反射 是一種 射,0
不符,不,符,不符 是一種 符,0
自覺,自,覺,自覺 是一種 覺,0
留意,留,意,留意 是一種 意,0
歡喜,歡,喜,歡喜 是一種 喜,1
恐懼,恐,懼,恐懼 是一種 懼,1
招致,招,致,招致 是一種 致,0
懶得,懶,得,懶得 是一種 得,0
提早,提,早,提早 是一種 早,0
有心,有,心,有心 是一種 心,0
用來,用,來,用來 是一種 來,0
用途,用,途,用途 是一種 途,0
口操,口,操,口操 是一種 操,0
梅子,梅,子,梅子 是一種 子,0
分角,分,角,分角 是一種 角,0
聲音,聲,音,聲音 是一種 音,1
禮物,禮,物,禮物 是一種 物,0
哪些,哪,些,哪些 是一種 些,0
忽略,忽,略,忽略 是一種 略,0
好好,好,好,好好 是一種 好,0
杯子,杯,子,杯子 是一種 子,0
勺子,勺,子,勺子 是一種 子,0
貼補,貼,補,貼補 是一種 補,0
討論,討,論,討論 是一種 論,0
確定,確,定,確定 是一種 定,0
她們,她,們,她們 是一種 們,0
他人,他,人,他人 是一種 人,1
人家,人,家,人家 是一種 家,0
一般,一,般,一般 是一種 般,0
南區,南,區,南區 是一種 區,1
東南,東,南,東南 是一種 南,0
弟弟,弟,弟,弟弟 是一種 弟,0
視為,視,為,視為 是一種 為,0
人家,人,家,人家 是一種 家,0
化裝,化,裝,化裝 是一種 裝,1
引致,引,致,引致 是一種 致,0
慶生,慶,生,慶生 是一種 生,0
泰半,泰,半,泰半 是一種 半,1
不許,不,許,不許 是一種 許,0
彼得,彼,得,彼得 是一種 得,0
等同,等,同,等同 是一種 同,1
本錢,本,錢,本錢 是一種 錢,0
罪名,罪,名,罪名 是一種 名,0
乃兄,乃,兄,乃兄 是一種 兄,1
啥子,啥,子,啥子 是一種 子,0
不敬,不,敬,不敬 是一種 敬,0
止住,止,住,止住 是一種 住,0
鼓動,鼓,動,鼓動 是一種 動,0
交保,交,保,交保 是一種 保,0
不屑,不,屑,不屑 是一種 屑,0
胡亂,胡,亂,胡亂 是一種 亂,0
奏效,奏,效,奏效 是一種 效,0
分別,分,別,分別 是一種 別,0
戰術,戰,術,戰術 是一種 術,1
不忘,不,忘,不忘 是一種 忘,0
牽涉,牽,涉,牽涉 是一種 涉,0
家用,家,用,家用 是一種 用,0
視聽,視,聽,視聽 是一種 聽,0
交代,交,代,交代 是一種 代,0
諸多,諸,多,諸多 是一種 多,1
發覺,發,覺,發覺 是一種 覺,0
結果,結,果,結果 是一種 果,0
一些,一,些,一些 是一種 些,0
鈞座,鈞,座,鈞座 是一種 座,0
法辦,法,辦,法辦 是一種 辦,0
勒令,勒,令,勒令 是一種 令,0
助選,助,選,助選 是一種 選,0
視作,視,作,視作 是一種 作,0
結為,結,為,結為 是一種 為,0
反動,反,動,反動 是一種 動,0
到期,到,期,到期 是一種 期,0
機緣,機,緣,機緣 是一種 緣,0
記住,記,住,記住 是一種 住,0
做錯,做,錯,做錯 是一種 錯,0
多多,多,多,多多 是一種 多,0
入口,入,口,入口 是一種 口,0
保有,保,有,保有 是一種 有,0
忘記,忘,記,忘記 是一種 記,0
這些,這,些,這些 是一種 些,0
怎敢,怎,敢,怎敢 是一種 敢,0
失之,失,之,失之 是一種 之,0
您們,您,們,您們 是一種 們,0
接生,接,生,接生 是一種 生,0
實是,實,是,實是 是一種 是,0
逗留,逗,留,逗留 是一種 留,0
分出,分,出,分出 是一種 出,0
滾滾,滾,滾,滾滾 是一種 滾,0
為準,為,準,為準 是一種 準,0
手勢,手,勢,手勢 是一種 勢,0
視力,視,力,視力 是一種 力,0
車行,車,行,車行 是一種 行,0
制止,制,止,制止 是一種 止,0
核定,核,定,核定 是一種 定,0
顧及,顧,及,顧及 是一種 及,0
優先,優,先,優先 是一種 先,0
允許,允,許,允許 是一種 許,0
若干,若,干,若干 是一種 干,0
主張,主,張,主張 是一種 張,0
永遠,永,遠,永遠 是一種 遠,0
負責,負,責,負責 是一種 責,0
寧肯,寧,肯,寧肯 是一種 肯,0
彼等,彼,等,彼等 是一種 等,0
為證,為,證,為證 是一種 證,0
誘發,誘,發,誘發 是一種 發,0
驗尿,驗,尿,驗尿 是一種 尿,0
和聲,和,聲,和聲 是一種 聲,1
補給,補,給,補給 是一種 給,0
開動,開,動,開動 是一種 動,0
木蘭,木,蘭,木蘭 是一種 蘭,0
相應,相,應,相應 是一種 應,0
狹義,狹,義,狹義 是一種 義,0
占有,占,有,占有 是一種 有,0
分化,分,化,分化 是一種 化,0
深感,深,感,深感 是一種 感,0
推測,推,測,推測 是一種 測,0
瀕臨,瀕,臨,瀕臨 是一種 臨,0
指定,指,定,指定 是一種 定,0
提醒,提,醒,提醒 是一種 醒,0
賢妻,賢,妻,賢妻 是一種 妻,1
吸血,吸,血,吸血 是一種 血,0
罰錢,罰,錢,罰錢 是一種 錢,0
其二,其,二,其二 是一種 二,0
力圖,力,圖,力圖 是一種 圖,0
奉勸,奉,勸,奉勸 是一種 勸,0
發送,發,送,發送 是一種 送,0
解毒,解,毒,解毒 是一種 毒,0
搖擺,搖,擺,搖擺 是一種 擺,0
代謝,代,謝,代謝 是一種 謝,0
結實,結,實,結實 是一種 實,0
連任,連,任,連任 是一種 任,0
蘭花,蘭,花,蘭花 是一種 花,1
誤會,誤,會,誤會 是一種 會,0
用到,用,到,用到 是一種 到,0
轟炸,轟,炸,轟炸 是一種 炸,0
隔壁,隔,壁,隔壁 是一種 壁,0
期盼,期,盼,期盼 是一種 盼,0
容納,容,納,容納 是一種 納,0
反省,反,省,反省 是一種 省,0
官人,官,人,官人 是一種 人,0
妾身,妾,身,妾身 是一種 身,0
照辦,照,辦,照辦 是一種 辦,0
賴以,賴,以,賴以 是一種 以,0
存檔,存,檔,存檔 是一種 檔,0
出錢,出,錢,出錢 是一種 錢,0
彈性,彈,性,彈性 是一種 性,0
性感,性,感,性感 是一種 感,0
稱做,稱,做,稱做 是一種 做,0
冷戰,冷,戰,冷戰 是一種 戰,1
深信,深,信,深信 是一種 信,0
點點,點,點,點點 是一種 點,0
劇院,劇,院,劇院 是一種 院,1
目睹,目,睹,目睹 是一種 睹,0
剖析,剖,析,剖析 是一種 析,0
順便,順,便,順便 是一種 便,0
報告,報,告,報告 是一種 告,0
剛剛,剛,剛,剛剛 是一種 剛,0
令郎,令,郎,令郎 是一種 郎,0
令兄,令,兄,令兄 是一種 兄,1
心醉,心,醉,心醉 是一種 醉,0
裝作,裝,作,裝作 是一種 作,0
其一,其,一,其一 是一種 一,0
為伍,為,伍,為伍 是一種 伍,0
最少,最,少,最少 是一種 少,1
留念,留,念,留念 是一種 念,0
驚醒,驚,醒,驚醒 是一種 醒,0
大臣,大,臣,大臣 是一種 臣,0
聽覺,聽,覺,聽覺 是一種 覺,1
點燃,點,燃,點燃 是一種 燃,0
沿岸,沿,岸,沿岸 是一種 岸,0
師院,師,院,師院 是一種 院,0
週年,週,年,週年 是一種 年,0
遺忘,遺,忘,遺忘 是一種 忘,0
最早,最,早,最早 是一種 早,0
交給,交,給,交給 是一種 給,0
可見,可,見,可見 是一種 見,0
大家,大,家,大家 是一種 家,0
環繞,環,繞,環繞 是一種 繞,0
靠岸,靠,岸,靠岸 是一種 岸,0
貼身,貼,身,貼身 是一種 身,0
林肯,林,肯,林肯 是一種 肯,0
口角,口,角,口角 是一種 角,0
以為,以,為,以為 是一種 為,0
協約,協,約,協約 是一種 約,1
機組,機,組,機組 是一種 組,0
謀生,謀,生,謀生 是一種 生,0
紀錄,紀,錄,紀錄 是一種 錄,0
一旁,一,旁,一旁 是一種 旁,0
推論,推,論,推論 是一種 論,0
早晨,早,晨,早晨 是一種 晨,0
名家,名,家,名家 是一種 家,0
美帝,美,帝,美帝 是一種 帝,0
人氣,人,氣,人氣 是一種 氣,0
惹到,惹,到,惹到 是一種 到,0
反映,反,映,反映 是一種 映,0
商業,商,業,商業 是一種 業,0
載明,載,明,載明 是一種 明,0
我們,我,們,我們 是一種 們,0
種子,種,子,種子 是一種 子,0
生存,生,存,生存 是一種 存,0
妻子,妻,子,妻子 是一種 子,0
呼吸,呼,吸,呼吸 是一種 吸,0
結實,結,實,結實 是一種 實,0
棍子,棍,子,棍子 是一種 子,0
不覺,不,覺,不覺 是一種 覺,0
警覺,警,覺,警覺 是一種 覺,0
萬分,萬,分,萬分 是一種 分,0
沙沙,沙,沙,沙沙 是一種 沙,0
無疑,無,疑,無疑 是一種 疑,0
財政,財,政,財政 是一種 政,0
彼得,彼,得,彼得 是一種 得,0
身為,身,為,身為 是一種 為,0
金融,金,融,金融 是一種 融,0
國防,國,防,國防 是一種 防,0
階段,階,段,階段 是一種 段,0
辦法,辦,法,辦法 是一種 法,0
過程,過,程,過程 是一種 程,0
喜歡,喜,歡,喜歡 是一種 歡,0
學生,學,生,學生 是一種 生,0
裝做,裝,做,裝做 是一種 做,0
大笑,大,笑,大笑 是一種 笑,1
定位,定,位,定位 是一種 位,0
敏感,敏,感,敏感 是一種 感,0
商店,商,店,商店 是一種 店,1
環保,環,保,環保 是一種 保,0
民生,民,生,民生 是一種 生,0
福特,福,特,福特 是一種 特,0
吸毒,吸,毒,吸毒 是一種 毒,0
大衛,大,衛,大衛 是一種 衛,0
那兒,那,兒,那兒 是一種 兒,0
遺址,遺,址,遺址 是一種 址,0
主力,主,力,主力 是一種 力,0
金錢,金,錢,金錢 是一種 錢,0
工會,工,會,工會 是一種 會,1
穩定,穩,定,穩定 是一種 定,0
福特,福,特,福特 是一種 特,0
德國,德,國,德國 是一種 國,1
演出,演,出,演出 是一種 出,0
河川,河,川,河川 是一種 川,0
危機,危,機,危機 是一種 機,0
展開,展,開,展開 是一種 開,0
戰爭,戰,爭,戰爭 是一種 爭,0
福特,福,特,福特 是一種 特,0
類型,類,型,類型 是一種 型,0
顧問,顧,問,顧問 是一種 問,0
住宅,住,宅,住宅 是一種 宅,1
主動,主,動,主動 是一種 動,0
法令,法,令,法令 是一種 令,0
形容,形,容,形容 是一種 容,0
法律,法,律,法律 是一種 律,0
校園,校,園,校園 是一種 園,0
作為,作,為,作為 是一種 為,0
推動,推,動,推動 是一種 動,0
了解,了,解,了解 是一種 解,0
分班,分,班,分班 是一種 班,0
造勢,造,勢,造勢 是一種 勢,0
煮熟,煮,熟,煮熟 是一種 熟,0
相比,相,比,相比 是一種 比,0
陽明,陽,明,陽明 是一種 明,0
進來,進,來,進來 是一種 來,0
門口,門,口,門口 是一種 口,0
建造,建,造,建造 是一種 造,0
優秀,優,秀,優秀 是一種 秀,0
女士,女,士,女士 是一種 士,0
美好,美,好,美好 是一種 好,0
餐廳,餐,廳,餐廳 是一種 廳,0
一致,一,致,一致 是一種 致,0
這邊,這,邊,這邊 是一種 邊,0
泰國,泰,國,泰國 是一種 國,1
因應,因,應,因應 是一種 應,0
讀者,讀,者,讀者 是一種 者,0
慢慢,慢,慢,慢慢 是一種 慢,0
肯定,肯,定,肯定 是一種 定,0
兒童,兒,童,兒童 是一種 童,0
簡單,簡,單,簡單 是一種 單,0
人士,人,士,人士 是一種 士,0
事實,事,實,事實 是一種 實,0
指出,指,出,指出 是一種 出,0
照相,照,相,照相 是一種 相,0
付費,付,費,付費 是一種 費,0
遭遇,遭,遇,遭遇 是一種 遇,0
師範,師,範,師範 是一種 範,0
過來,過,來,過來 是一種 來,0
崇拜,崇,拜,崇拜 是一種 拜,0
走向,走,向,走向 是一種 向,0
保守,保,守,保守 是一種 守,0
民意,民,意,民意 是一種 意,0
紐約,紐,約,紐約 是一種 約,0
遊客,遊,客,遊客 是一種 客,0
位置,位,置,位置 是一種 置,0
女孩,女,孩,女孩 是一種 孩,0
修行,修,行,修行 是一種 行,0
降低,降,低,降低 是一種 低,0
失去,失,去,失去 是一種 去,0
聽到,聽,到,聽到 是一種 到,0
健康,健,康,健康 是一種 康,0
小孩,小,孩,小孩 是一種 孩,0
強調,強,調,強調 是一種 調,0
同學,同,學,同學 是一種 學,0
國際,國,際,國際 是一種 際,0
判刑,判,刑,判刑 是一種 刑,0
出面,出,面,出面 是一種 面,0
家鄉,家,鄉,家鄉 是一種 鄉,0
殘障,殘,障,殘障 是一種 障,0
外界,外,界,外界 是一種 界,0
財務,財,務,財務 是一種 務,0
天空,天,空,天空 是一種 空,0
外面,外,面,外面 是一種 面,0
保險,保,險,保險 是一種 險,0
固定,固,定,固定 是一種 定,0
有趣,有,趣,有趣 是一種 趣,0
見到,見,到,見到 是一種 到,0
觀眾,觀,眾,觀眾 是一種 眾,0
出來,出,來,出來 是一種 來,0
願意,願,意,願意 是一種 意,0
事業,事,業,事業 是一種 業,0
開發,開,發,開發 是一種 發,0
所以,所,以,所以 是一種 以,0
分區,分,區,分區 是一種 區,0
催眠,催,眠,催眠 是一種 眠,0
出身,出,身,出身 是一種 身,0
緊急,緊,急,緊急 是一種 急,0
歐美,歐,美,歐美 是一種 美,0
難得,難,得,難得 是一種 得,0
偉大,偉,大,偉大 是一種 大,0
廣泛,廣,泛,廣泛 是一種 泛,0
採購,採,購,採購 是一種 購,0
先進,先,進,先進 是一種 進,0
眼前,眼,前,眼前 是一種 前,0
證明,證,明,證明 是一種 明,0
資金,資,金,資金 是一種 金,0
準備,準,備,準備 是一種 備,0
來自,來,自,來自 是一種 自,0
正式,正,式,正式 是一種 式,0
學術,學,術,學術 是一種 術,0
女人,女,人,女人 是一種 人,1
容易,容,易,容易 是一種 易,0
先天,先,天,先天 是一種 天,0
停車,停,車,停車 是一種 車,0
遭到,遭,到,遭到 是一種 到,0
法院,法,院,法院 是一種 院,0
機車,機,車,機車 是一種 車,1
特定,特,定,特定 是一種 定,0
任務,任,務,任務 是一種 務,0
不易,不,易,不易 是一種 易,0
後面,後,面,後面 是一種 面,0
碰到,碰,到,碰到 是一種 到,0
國人,國,人,國人 是一種 人,1
危險,危,險,危險 是一種 險,0
保存,保,存,保存 是一種 存,0
人物,人,物,人物 是一種 物,0
婦女,婦,女,婦女 是一種 女,1
科學,科,學,科學 是一種 學,1
人民,人,民,人民 是一種 民,0
特別,特,別,特別 是一種 別,0
國家,國,家,國家 是一種 家,0
大衛,大,衛,大衛 是一種 衛,0
淡江,淡,江,淡江 是一種 江,0
自有,自,有,自有 是一種 有,0
非洲,非,洲,非洲 是一種 洲,1
浪漫,浪,漫,浪漫 是一種 漫,0
古典,古,典,古典 是一種 典,0
種類,種,類,種類 是一種 類,0
全面,全,面,全面 是一種 面,0
創意,創,意,創意 是一種 意,0
連線,連,線,連線 是一種 線,0
顧客,顧,客,顧客 是一種 客,0
良好,良,好,良好 是一種 好,0
記得,記,得,記得 是一種 得,0
意思,意,思,意思 是一種 思,0
新竹,新,竹,新竹 是一種 竹,0
採用,採,用,採用 是一種 用,0
記者,記,者,記者 是一種 者,0
業者,業,者,業者 是一種 者,0
技術,技,術,技術 是一種 術,0
時候,時,候,時候 是一種 候,0
花錢,花,錢,花錢 是一種 錢,0
單一,單,一,單一 是一種 一,0
喪失,喪,失,喪失 是一種 失,0
自殺,自,殺,自殺 是一種 殺,1
超越,超,越,超越 是一種 越,0
做人,做,人,做人 是一種 人,0
色彩,色,彩,色彩 是一種 彩,0
讀書,讀,書,讀書 是一種 書,0
兩岸,兩,岸,兩岸 是一種 岸,0
維持,維,持,維持 是一種 持,0
目的,目,的,目的 是一種 的,0
敬酒,敬,酒,敬酒 是一種 酒,0
拍照,拍,照,拍照 是一種 照,0
奧運,奧,運,奧運 是一種 運,0
這兒,這,兒,這兒 是一種 兒,0
失敗,失,敗,失敗 是一種 敗,0
外國,外,國,外國 是一種 國,1
趨勢,趨,勢,趨勢 是一種 勢,0
學院,學,院,學院 是一種 院,0
員工,員,工,員工 是一種 工,0
功能,功,能,功能 是一種 能,0
辯護,辯,護,辯護 是一種 護,0
驚人,驚,人,驚人 是一種 人,0
飯店,飯,店,飯店 是一種 店,1
主席,主,席,主席 是一種 席,0
青年,青,年,青年 是一種 年,0
保持,保,持,保持 是一種 持,0
協助,協,助,協助 是一種 助,0
觀念,觀,念,觀念 是一種 念,0
哈佛,哈,佛,哈佛 是一種 佛,0
刻意,刻,意,刻意 是一種 意,0
收費,收,費,收費 是一種 費,0
發出,發,出,發出 是一種 出,0
水準,水,準,水準 是一種 準,0
少年,少,年,少年 是一種 年,0
國小,國,小,國小 是一種 小,0
週旋,週,旋,週旋 是一種 旋,0
新光,新,光,新光 是一種 光,0
兄弟,兄,弟,兄弟 是一種 弟,0
生意,生,意,生意 是一種 意,0
大學,大,學,大學 是一種 學,0
便宜,便,宜,便宜 是一種 宜,0
應該,應,該,應該 是一種 該,0
去年,去,年,去年 是一種 年,1
最近,最,近,最近 是一種 近,0
標準,標,準,標準 是一種 準,0
麥克,麥,克,麥克 是一種 克,0
患者,患,者,患者 是一種 者,0
推估,推,估,推估 是一種 估,0
做法,做,法,做法 是一種 法,0
多雨,多,雨,多雨 是一種 雨,0
單薄,單,薄,單薄 是一種 薄,0
證據,證,據,證據 是一種 據,0
殆盡,殆,盡,殆盡 是一種 盡,0
後期,後,期,後期 是一種 期,0
航運,航,運,航運 是一種 運,0
燃燒,燃,燒,燃燒 是一種 燒,0
河口,河,口,河口 是一種 口,0
黏附,黏,附,黏附 是一種 附,0
水泥,水,泥,水泥 是一種 泥,0
挖出,挖,出,挖出 是一種 出,0
夏季,夏,季,夏季 是一種 季,1
相去,相,去,相去 是一種 去,0
動盪,動,盪,動盪 是一種 盪,0
製藥,製,藥,製藥 是一種 藥,0
廣大,廣,大,廣大 是一種 大,0
開闊,開,闊,開闊 是一種 闊,0
養分,養,分,養分 是一種 分,0
儲蓄,儲,蓄,儲蓄 是一種 蓄,0
容量,容,量,容量 是一種 量,0
捕捉,捕,捉,捕捉 是一種 捉,0
嫉妒,嫉,妒,嫉妒 是一種 妒,0
驚嚇,驚,嚇,驚嚇 是一種 嚇,0
心煩,心,煩,心煩 是一種 煩,0
欣喜,欣,喜,欣喜 是一種 喜,0
歡愉,歡,愉,歡愉 是一種 愉,0
驚慌,驚,慌,驚慌 是一種 慌,0
冷淡,冷,淡,冷淡 是一種 淡,0
害羞,害,羞,害羞 是一種 羞,0
愉悅,愉,悅,愉悅 是一種 悅,0
可惡,可,惡,可惡 是一種 惡,0
悲哀,悲,哀,悲哀 是一種 哀,0
憤恨,憤,恨,憤恨 是一種 恨,0
掛念,掛,念,掛念 是一種 念,0
氣憤,氣,憤,氣憤 是一種 憤,0
思念,思,念,思念 是一種 念,0
心酸,心,酸,心酸 是一種 酸,0
歡悅,歡,悅,歡悅 是一種 悅,0
心急,心,急,心急 是一種 急,0
憂心,憂,心,憂心 是一種 心,0
哀愁,哀,愁,哀愁 是一種 愁,0
愁苦,愁,苦,愁苦 是一種 苦,0
敵視,敵,視,敵視 是一種 視,0
悲苦,悲,苦,悲苦 是一種 苦,0
歡暢,歡,暢,歡暢 是一種 暢,0
暖身,暖,身,暖身 是一種 身,0
